date,open,high,low,close,volume,Name
2014-01-24,63.8609,63.9882,62.8177,62.8346,12014630,QCOM
2014-01-27,62.7752,63.0721,61.698,62.0882,12669803,QCOM
2014-01-28,61.0704,62.0373,60.8583,61.0619,18191271,QCOM
2014-01-29,60.5614,61.1382,60.2052,60.3239,16638871,QCOM
2014-01-30,61.6217,62.2536,61.0449,62.1391,17743735,QCOM
2014-01-31,61.6471,63.1824,61.5962,62.9534,15421279,QCOM
2014-02-03,62.4869,62.7244,61.8592,62.19,15940060,QCOM
2014-02-04,62.2578,62.3003,61.3036,61.5029,11708002,QCOM
2014-02-05,61.1552,61.6302,61.0958,61.3842,10488791,QCOM
2014-02-06,61.698,62.1985,61.3452,62.1221,8178699,QCOM
2014-02-07,62.2578,63.1654,62.0882,63.1145,9005085,QCOM
2014-02-10,62.9364,63.386,62.6736,63.352,7599653,QCOM
2014-02-11,63.4538,64.2341,63.2163,64.1408,8948317,QCOM
2014-02-12,64.1748,65.0145,64.1748,64.8194,11498577,QCOM
2014-02-13,64.4632,65.0993,64.4632,64.8364,9047172,QCOM
2014-02-14,64.4716,64.8194,64.3105,64.7007,8342325,QCOM
2014-02-18,64.6752,64.6752,64.0645,64.1239,8855041,QCOM
2014-02-19,63.9288,64.4504,63.7083,64.2681,8535909,QCOM
2014-02-20,64.4292,64.6328,64.1917,64.4208,7194165,QCOM
2014-02-21,64.6158,64.9254,64.0984,64.1324,8740159,QCOM
2014-02-24,64.4377,64.4547,63.9477,63.9797,9191882,QCOM
2014-02-25,64.1408,64.3614,63.3944,63.5386,6999268,QCOM
2014-02-26,63.7422,64.0391,63.5301,63.6574,5551595,QCOM
2014-02-27,63.5217,63.8355,63.1909,63.7761,9465155,QCOM
2014-02-28,63.9627,63.9797,63.4877,63.8609,9451958,QCOM
2014-03-03,63.5883,63.6053,62.2419,62.7446,11401355,QCOM
2014-03-04,64.3382,65.4375,64.2103,64.858,13528165,QCOM
2014-03-05,65.1392,65.5823,64.5853,65.3352,6786176,QCOM
2014-03-06,65.6164,65.7698,65.2254,65.6164,7757672,QCOM
2014-03-07,65.7016,65.7868,65.1392,65.4375,7284997,QCOM
2014-03-10,65.4375,65.6761,65.2329,65.6761,7704915,QCOM
2014-03-11,65.6931,65.7868,65.2585,65.3693,8272877,QCOM
2014-03-12,65.267,65.7357,65.0284,65.5909,6897278,QCOM
2014-03-13,65.6164,65.7187,64.2402,64.449,8956118,QCOM
2014-03-14,64.1081,64.6876,63.486,63.6905,10513381,QCOM
2014-03-17,64.5256,65.8806,64.3637,65.6335,13851487,QCOM
