date,open,high,low,close,volume,Name
2014-01-24,41.0966,41.2499,40.6108,40.7557,352992,REG
2014-01-27,40.8153,41.1051,40.3466,40.4318,287783,REG
2014-01-28,40.4488,41.1903,40.4488,40.9687,425020,REG
2014-01-29,40.713,41.0028,40.3892,40.4233,343327,REG
2014-01-30,40.6534,41.1136,40.6193,40.9517,334836,REG
2014-01-31,40.3807,41.2585,40.3721,41.0284,523078,REG
2014-02-03,41.0113,41.0113,39.7074,39.8608,888264,REG
2014-02-04,40.0398,40.5511,39.7244,40.3466,718251,REG
2014-02-05,40.2102,40.4829,39.9971,40.4574,324612,REG
2014-02-06,40.5341,40.9772,40.3466,40.9772,269142,REG
2014-02-07,41.1136,41.5483,40.9943,41.3437,450050,REG
2014-02-10,41.3352,42.2642,41.2244,42.2045,424943,REG
2014-02-11,42.1108,42.588,42.0,42.4602,366517,REG
2014-02-12,42.5284,42.571,42.0596,42.3068,733961,REG
2014-02-13,42.6051,43.6278,42.3494,42.8011,984133,REG
2014-02-14,42.6392,43.321,42.5113,43.2784,596958,REG
2014-02-18,43.2528,43.4318,42.7329,43.321,541017,REG
2014-02-19,43.2358,43.8835,43.0994,43.2528,513556,REG
2014-02-20,43.3302,43.769,42.7711,42.9689,391996,REG
2014-02-21,43.0033,43.4765,42.6205,43.0722,508614,REG
2014-02-24,43.2614,43.769,43.0808,43.184,594752,REG
2014-02-25,43.2958,43.8636,43.1281,43.3905,545522,REG
2014-02-26,43.4335,43.8206,43.313,43.3991,439755,REG
2014-02-27,43.4679,43.7044,43.0378,43.313,348697,REG
2014-02-28,43.2012,43.8636,43.2012,43.6743,597320,REG
2014-03-03,43.4077,43.7733,43.0205,43.5281,613774,REG
2014-03-04,43.5281,44.1905,43.5281,44.1044,490166,REG
2014-03-05,44.1561,44.2421,43.6313,44.0012,244958,REG
2014-03-06,43.984,44.0141,43.356,43.5023,479952,REG
2014-03-07,43.5023,43.5023,42.47,42.6851,769084,REG
2014-03-10,42.7367,42.8141,42.2377,42.5646,370453,REG
2014-03-11,42.6162,42.9603,42.5259,42.9173,374665,REG
2014-03-12,42.8571,43.1754,42.7023,43.1668,647346,REG
2014-03-13,43.1754,43.1754,42.642,43.0292,480415,REG
