date,open,high,low,close,volume,Name
2014-01-24,131.0599,131.6776,127.9174,127.9264,412075,RE
2014-01-27,128.3472,130.2451,127.7384,129.4663,327575,RE
2014-01-28,129.6811,131.3821,129.6811,130.9524,256587,RE
2014-01-29,130.3526,131.1762,128.3292,128.8664,416857,RE
2014-01-30,130.1377,132.7519,129.6811,132.6087,259264,RE
2014-01-31,130.5406,131.4806,129.6005,129.6005,590060,RE
2014-02-03,129.8244,130.3973,126.2343,126.2343,682039,RE
2014-02-04,127.0938,128.8754,125.903,127.2549,526821,RE
2014-02-05,127.1117,127.8727,126.1,127.3892,426333,RE
2014-02-06,128.9201,129.699,122.5099,123.0829,900117,RE
2014-02-07,122.9307,124.3811,122.0713,124.2647,715110,RE
2014-02-10,123.9871,126.1985,123.0561,125.8135,592635,RE
2014-02-11,126.2701,129.8333,126.0776,129.1708,576647,RE
2014-02-12,128.9738,129.6632,127.5772,129.0723,497971,RE
2014-02-13,128.5083,131.4538,128.2934,131.3911,448607,RE
2014-02-14,131.3911,132.6534,130.9614,131.8119,390480,RE
2014-02-18,132.3222,133.5577,131.418,133.4323,465317,RE
2014-02-19,133.3339,134.7574,132.7609,133.3876,580927,RE
2014-02-20,133.6114,134.5604,133.1727,133.6741,264828,RE
2014-02-21,134.0859,134.2112,132.931,133.1727,363392,RE
2014-02-24,133.119,134.1754,130.9972,131.3642,650304,RE
2014-02-25,131.4269,131.9909,130.272,130.7465,921190,RE
2014-02-26,131.3284,132.8683,130.4063,132.5371,716360,RE
2014-02-27,132.5371,133.9337,131.4627,133.5219,502887,RE
2014-02-28,133.5577,134.8648,133.0295,133.6114,372973,RE
2014-03-03,132.6266,132.9847,131.3284,131.7761,317718,RE
2014-03-04,132.7251,133.5398,132.3491,133.0384,569579,RE
2014-03-05,133.1011,133.3652,132.5639,133.1548,375153,RE
2014-03-06,133.4055,133.9964,133.0116,133.3786,409575,RE
2014-03-07,134.2829,134.3813,132.6624,134.1038,418585,RE
2014-03-10,133.4829,134.6707,132.6281,134.6707,451557,RE
2014-03-11,134.8596,134.8596,133.348,134.1578,538748,RE
2014-03-12,133.285,134.8776,132.9881,134.5807,308616,RE
2014-03-13,134.8866,135.3095,134.0048,134.1938,383690,RE
2014-03-14,134.1398,136.0473,133.8833,135.4355,317364,RE
2014-03-17,136.2993,137.2081,135.8404,136.2813,253190,RE
2014-03-18,136.4252,137.226,136.0653,136.7762,255626,RE
2014-03-19,137.352,137.352,135.1116,135.5075,219858,RE
2014-03-20,135.3005,136.0113,134.9946,135.4895,182156,RE
2014-03-21,136.1823,136.8301,135.4445,135.7864,447038,RE
2014-03-24,136.3173,136.8571,135.4805,135.7414,519801,RE
2014-03-25,136.3533,136.9651,135.0126,136.0113,391896,RE
2014-03-26,136.6142,136.9021,134.8866,134.9226,354987,RE
2014-03-27,135.2645,135.4085,133.4829,133.9688,368980,RE
2014-03-28,134.9676,135.4985,133.7709,134.6707,191138,RE
2014-03-31,135.6424,137.7569,135.1835,137.7119,497340,RE
2014-04-01,137.6489,137.6489,134.9316,136.6682,410908,RE
2014-04-02,136.8571,137.7749,135.8584,137.325,314809,RE
2014-04-03,137.6219,138.5757,136.7132,138.3508,305233,RE
2014-04-04,138.7467,139.2551,137.1361,137.217,236071,RE
2014-04-07,136.9741,137.442,135.4895,135.6964,212021,RE
2014-04-08,136.0383,137.7299,135.2159,137.424,410974,RE
2014-04-09,137.6759,138.6927,137.0641,138.5757,221320,RE
2014-04-10,138.8007,140.2313,137.8829,137.9909,383636,RE
2014-04-11,137.8469,138.9446,136.9201,138.0898,501003,RE
2014-04-14,139.3315,140.3123,138.0628,140.0694,361973,RE
2014-04-15,140.3663,140.7892,139.2146,139.9884,272970,RE
2014-04-16,140.6812,141.752,140.3933,141.383,200166,RE
2014-04-17,140.9871,142.8137,140.8522,142.5348,301432,RE
2014-04-21,142.8497,142.9217,141.3471,142.5528,258739,RE
2014-04-22,142.5348,143.4975,142.3278,142.4898,363000,RE
2014-04-23,142.3278,145.1531,141.9589,145.1441,592631,RE
2014-04-24,145.0452,145.3331,141.3381,141.707,842185,RE
2014-04-25,141.8689,143.3266,140.9871,142.3188,385632,RE
2014-04-28,142.5258,142.8317,140.6452,140.9961,358266,RE
2014-04-29,141.3381,142.8947,140.8342,142.6877,322764,RE
2014-04-30,142.4988,142.5618,140.0334,142.1929,589950,RE
2014-05-01,142.7057,144.1724,141.9499,144.0554,258021,RE
2014-05-02,144.0734,144.4153,143.0476,143.3446,352242,RE
2014-05-05,143.3446,144.0194,142.3908,142.9757,208052,RE
2014-05-06,142.7867,143.4166,142.3998,142.8857,203700,RE
2014-05-07,143.0656,144.2354,142.6158,144.1634,365001,RE
2014-05-08,144.0374,145.1261,143.4615,143.8125,267335,RE
2014-05-09,143.3086,143.6757,141.734,142.4898,303679,RE
2014-05-12,143.3536,144.1364,142.3188,142.6787,316733,RE
2014-05-13,142.6787,143.4435,141.653,142.6607,737263,RE
2014-05-14,142.2738,143.0926,141.1311,141.3111,455646,RE
2014-05-15,140.9242,142.0129,140.2943,141.0861,534937,RE
2014-05-16,141.0861,141.5585,140.1503,141.527,248789,RE
2014-05-19,141.473,142.9217,140.9062,142.4088,301495,RE
2014-05-20,142.0579,142.4718,141.644,142.1119,316270,RE
2014-05-21,142.7507,143.1196,141.86,142.7957,238598,RE
2014-05-22,142.9127,143.8755,141.707,143.4795,319710,RE
2014-05-23,143.4795,144.0464,142.8317,143.3536,204288,RE
2014-05-27,144.0374,145.2701,143.3896,145.2071,298132,RE
2014-05-28,145.2341,145.927,143.9294,143.9384,263098,RE
2014-05-29,144.0644,144.6583,143.2996,143.9654,342616,RE
2014-05-30,144.2084,144.7212,143.5605,143.9834,301007,RE
2014-06-02,144.3993,144.4897,143.2241,143.8388,274949,RE
2014-06-03,143.7032,144.3089,142.8534,144.2727,260558,RE
2014-06-04,144.2275,146.3068,143.5586,146.3068,386521,RE
2014-06-05,146.2887,146.6774,145.2943,146.3339,215838,RE
2014-06-06,146.4966,147.4187,146.2231,146.2706,289609,RE
2014-06-09,146.126,146.5472,144.8513,145.3214,241200,RE
2014-06-10,145.3214,146.3248,145.3214,146.2796,423878,RE
2014-06-11,145.7101,146.6684,145.0503,145.2762,367542,RE
2014-06-12,145.24,145.4751,143.215,144.2366,448372,RE
2014-06-13,144.6434,145.0972,143.7629,144.9055,190372,RE
2014-06-16,144.788,145.2039,143.6218,143.8478,203384,RE
2014-06-17,143.8207,145.4389,143.432,144.553,285368,RE
2014-06-18,144.6976,145.5655,143.9021,144.7609,233349,RE
2014-06-19,145.0863,145.5329,144.0829,144.3902,192191,RE
2014-06-20,144.3541,145.0972,143.9925,144.0648,464483,RE
2014-06-23,144.5258,144.6434,143.6489,144.0106,211288,RE
