date,open,high,low,close,volume,Name
2014-01-24,9.683,9.7187,9.3972,9.424,22222897,RF
2014-01-27,9.4686,9.4775,9.2185,9.2989,16709095,RF
2014-01-28,9.424,9.4552,9.2632,9.4061,13402679,RF
2014-01-29,9.3525,9.3793,9.1381,9.2096,18508695,RF
2014-01-30,9.3168,9.3346,9.1962,9.3168,8568165,RF
2014-01-31,9.1917,9.2096,9.0666,9.0845,15592389,RF
2014-02-03,9.1024,9.1024,8.7451,8.7719,18259231,RF
2014-02-04,8.8523,9.0577,8.7585,8.9059,15435894,RF
2014-02-05,8.8701,8.9148,8.7808,8.8433,14990131,RF
2014-02-06,8.8612,9.1828,8.8255,9.1738,17493314,RF
2014-02-07,9.2096,9.2721,9.0309,9.1381,17637104,RF
2014-02-10,9.147,9.2006,9.0399,9.1113,10865431,RF
2014-02-11,9.1024,9.2274,9.0309,9.2006,12211028,RF
2014-02-12,9.2006,9.3168,9.1292,9.156,9325426,RF
2014-02-13,9.0711,9.2096,9.0488,9.2006,8496437,RF
2014-02-14,9.214,9.3078,9.1828,9.2453,7574732,RF
2014-02-18,9.2453,9.3078,9.2274,9.2632,6282536,RF
2014-02-19,9.2453,9.2587,8.9952,9.022,13759977,RF
2014-02-20,9.022,9.1649,8.9595,9.1292,13316172,RF
2014-02-21,9.1292,9.2632,9.1024,9.147,10905002,RF
2014-02-24,9.1917,9.3704,9.1738,9.3257,12909026,RF
2014-02-25,9.3436,9.3972,9.2721,9.3346,13184165,RF
2014-02-26,9.3614,9.4061,9.281,9.3972,10872859,RF
2014-02-27,9.3882,9.4597,9.3168,9.4418,7873475,RF
2014-02-28,9.4508,9.616,9.415,9.5043,13619819,RF
2014-03-03,9.4329,9.4686,9.3436,9.4061,11663885,RF
2014-03-04,9.5311,9.6651,9.4954,9.6294,12989953,RF
2014-03-05,9.6115,9.7187,9.5579,9.5847,15980061,RF
2014-03-06,9.6294,9.7455,9.6026,9.6741,15090583,RF
2014-03-07,9.8081,9.9242,9.7902,9.8706,19681019,RF
2014-03-10,9.8259,9.8795,9.6741,9.7366,14406108,RF
2014-03-11,9.7455,9.7991,9.6026,9.6473,14468447,RF
2014-03-12,9.6204,9.6473,9.4771,9.6294,10293269,RF
2014-03-13,9.6652,9.7637,9.5398,9.5577,14290080,RF
2014-03-14,9.5398,9.6652,9.495,9.5219,10705215,RF
2014-03-17,9.5667,9.7279,9.5667,9.6741,13999196,RF
2014-03-18,9.6921,9.7548,9.6204,9.6831,9476429,RF
2014-03-19,9.6921,10.0145,9.6652,9.9339,21808587,RF
2014-03-20,9.8892,10.1847,9.8802,10.122,21195204,RF
2014-03-21,10.3012,10.337,9.925,9.9339,50567864,RF
