date,open,high,low,close,volume,Name
2014-01-24,39.3648,40.2287,39.1193,39.9013,4124282,RMD
2014-01-27,39.8649,40.0741,39.6194,39.8377,1681070,RMD
2014-01-28,39.5558,40.165,39.5558,40.1014,889409,RMD
2014-01-29,39.2466,39.9104,39.1466,39.6558,1266946,RMD
2014-01-30,39.2193,40.1287,39.1739,39.9559,704539,RMD
2014-01-31,39.7195,39.8922,39.4285,39.6558,753045,RMD
2014-02-03,39.4376,39.4739,37.7553,38.2191,3056046,RMD
2014-02-04,38.8374,39.3284,38.5555,39.2011,1605290,RMD
2014-02-05,39.2466,39.9286,38.9465,39.5376,1189937,RMD
2014-02-06,39.9104,40.3651,39.5467,39.7285,1290451,RMD
2014-02-07,39.6649,39.7104,39.1375,39.7104,770274,RMD
2014-02-10,40.0013,41.5654,39.965,41.4472,1391561,RMD
2014-02-11,41.6381,41.7927,40.9925,41.4017,1323579,RMD
2014-02-12,41.4017,41.9382,41.4017,41.7654,1589655,RMD
2014-02-13,41.3744,41.8291,41.2471,41.8018,657379,RMD
2014-02-14,41.8567,42.0212,41.6601,41.8201,411275,RMD
2014-02-18,42.0578,42.4692,42.0029,42.1767,1104054,RMD
2014-02-19,41.9024,42.3138,41.4909,42.1858,946033,RMD
2014-02-20,42.1949,42.6064,41.9389,42.5515,926876,RMD
2014-02-21,42.7435,42.7435,42.1858,42.2955,528444,RMD
2014-02-24,42.2498,42.643,41.8384,42.3047,822185,RMD
2014-02-25,42.3321,42.3321,40.6224,40.8235,2251416,RMD
2014-02-26,40.8144,40.9241,39.8818,40.0646,2154833,RMD
2014-02-27,39.2235,40.5492,38.8395,40.4212,3225263,RMD
2014-02-28,39.6623,41.0978,39.5709,40.2475,1895549,RMD
2014-03-03,39.1046,40.1469,38.5743,39.7629,708060,RMD
2014-03-04,40.2383,40.7412,40.0921,40.3298,911648,RMD
2014-03-05,40.5583,40.8144,40.3024,40.4304,614842,RMD
2014-03-06,40.2109,40.4395,40.0646,40.2383,500731,RMD
2014-03-07,40.8326,40.8875,40.2932,40.4212,800389,RMD
2014-03-10,40.5126,40.8235,40.4121,40.7138,908695,RMD
2014-03-11,40.8509,40.9241,40.3938,40.6772,549220,RMD
2014-03-12,40.8326,41.5549,40.7595,41.2441,1006909,RMD
2014-03-13,41.1069,41.1618,40.1195,40.2018,1021468,RMD
2014-03-14,39.9549,40.0829,39.4063,39.5983,949061,RMD
2014-03-17,40.3389,40.4212,39.6761,39.9823,809350,RMD
2014-03-18,40.0646,40.5492,40.0098,40.4486,608945,RMD
2014-03-19,40.8509,41.1709,40.6864,40.7229,1130972,RMD
2014-03-20,40.5126,40.6498,39.9915,40.1103,924979,RMD
2014-03-21,40.4578,40.6406,39.3149,39.8178,1735376,RMD
2014-03-24,40.1652,40.2383,39.004,39.2875,1168581,RMD
2014-03-25,39.3149,39.9092,39.1686,39.8909,718003,RMD
2014-03-26,40.1195,40.2109,39.7629,39.8269,622830,RMD
2014-03-27,39.9275,40.3389,39.6806,39.9549,739875,RMD
2014-03-28,40.2109,40.7869,40.0829,40.1286,460878,RMD
2014-03-31,40.3938,40.9789,40.0098,40.8601,537503,RMD
2014-04-01,40.8601,41.3995,40.8052,41.3629,1533845,RMD
2014-04-02,41.1344,41.5092,41.0246,41.4635,504713,RMD
2014-04-03,40.7504,41.1526,40.7504,40.9424,698867,RMD
2014-04-04,41.0978,41.8201,40.8784,40.9698,509585,RMD
2014-04-07,41.3447,41.7104,40.7595,41.1526,1482080,RMD
2014-04-08,41.8109,41.9847,41.2624,41.4269,869244,RMD
2014-04-09,41.5092,41.5549,40.7138,41.5458,831493,RMD
2014-04-10,41.6189,41.6281,41.1526,41.3264,1136063,RMD
2014-04-11,41.0978,41.266,40.5675,40.6224,766752,RMD
