date,open,high,low,close,volume,Name
2014-01-24,133.5161,133.9522,130.8525,131.5,894547,ROP
2014-01-27,133.1187,134.495,130.7343,131.248,745342,ROP
2014-01-28,131.5872,134.7955,131.1026,133.4967,455384,ROP
2014-01-29,132.2851,133.739,131.5097,131.9943,423729,ROP
2014-01-30,133.1381,133.7584,132.3723,133.5355,313480,ROP
2014-01-31,131.9362,134.0298,131.2286,133.0218,472449,ROP
2014-02-03,132.6534,133.8165,127.5357,127.749,735723,ROP
2014-02-04,128.2045,128.6407,127.1189,127.9331,966631,ROP
2014-02-05,127.4679,128.505,126.7118,127.8653,452455,ROP
2014-02-06,128.5147,129.261,127.8847,128.6891,481633,ROP
2014-02-07,129.3579,130.366,129.1447,129.7844,521741,ROP
2014-02-10,129.891,130.1043,128.6988,128.9121,505827,ROP
2014-02-11,129.3967,129.8813,128.883,129.513,572018,ROP
2014-02-12,129.8329,131.3255,129.8329,130.7924,480850,ROP
2014-02-13,130.0946,132.3481,129.8813,132.2948,418386,ROP
2014-02-14,132.2948,133.1574,131.374,132.6631,618757,ROP
2014-02-18,132.5274,132.9248,131.4515,131.7132,439861,ROP
2014-02-19,131.5776,132.6341,130.5114,130.8991,335184,ROP
2014-02-20,131.1995,131.7132,130.2981,131.374,368728,ROP
2014-02-21,131.4322,132.3723,130.7139,130.7731,357170,ROP
2014-02-24,131.248,132.8376,131.0541,131.1511,623977,ROP
2014-02-25,131.248,131.9459,130.8603,131.1414,443477,ROP
2014-02-26,131.6745,132.2948,130.6567,130.8312,500259,ROP
2014-02-27,130.7149,131.2577,127.5745,130.4726,436413,ROP
2014-02-28,130.366,132.2657,130.1915,131.4515,897521,ROP
2014-03-03,130.3854,131.0929,129.6196,130.5501,374544,ROP
2014-03-04,131.5194,133.0024,131.311,132.13,557630,ROP
2014-03-05,132.4693,133.4967,132.1106,132.7891,668252,ROP
2014-03-06,132.7407,134.7955,132.7407,134.3981,745315,ROP
2014-03-07,134.8827,135.4837,134.0976,135.2123,701616,ROP
2014-03-10,135.0572,135.3383,132.5177,132.8473,775317,ROP
2014-03-11,132.8473,133.4967,129.5809,130.1043,1084375,ROP
2014-03-12,129.6487,130.0461,128.156,129.9589,850168,ROP
2014-03-13,130.7149,131.4419,129.1253,129.8135,654404,ROP
2014-03-14,128.9896,130.5307,128.8803,129.9492,635895,ROP
2014-03-17,130.8797,132.4887,130.689,132.4305,745676,ROP
2014-03-18,132.5953,133.0702,132.1203,132.731,699839,ROP
2014-03-19,132.6437,132.9441,130.3757,131.1898,349870,ROP
2014-03-20,130.7052,131.4515,130.1043,130.8797,300832,ROP
2014-03-21,131.8683,133.0218,130.3369,130.5695,904273,ROP
2014-03-24,130.8603,131.1317,129.513,130.0946,423923,ROP
2014-03-25,130.9281,131.7617,129.4064,130.6761,534439,ROP
2014-03-26,131.2286,131.9071,129.0768,129.0962,534637,ROP
2014-03-27,128.9993,129.2125,128.0882,128.4081,344182,ROP
2014-03-28,128.3984,130.2109,128.3984,128.6988,385685,ROP
2014-03-31,129.261,129.9007,128.7861,129.4064,462900,ROP
