date,open,high,low,close,volume,Name
2014-01-24,29.8336,29.8617,28.9746,29.0119,1917165,SEE
2014-01-27,29.2267,29.4415,28.6758,29.0399,1952824,SEE
2014-01-28,29.1333,29.3107,28.8672,28.9559,1809033,SEE
2014-01-29,28.6944,29.4835,28.349,29.0026,2182478,SEE
2014-01-30,29.3294,29.4415,29.1613,29.3107,1371503,SEE
2014-01-31,28.8719,29.3948,28.7156,29.124,1285749,SEE
2014-02-03,29.1146,29.25,27.9708,28.0408,1654146,SEE
2014-02-04,28.3303,28.6758,28.1529,28.3956,1587949,SEE
2014-02-05,28.3583,28.9746,27.9755,28.8439,2310404,SEE
2014-02-06,27.9288,28.7598,26.3134,27.8821,4816022,SEE
2014-02-07,28.1062,29.4415,28.0408,29.3668,2953180,SEE
2014-02-10,29.2734,30.0344,29.096,29.9364,2316603,SEE
2014-02-11,29.9644,30.7767,29.7496,30.5713,1659759,SEE
2014-02-12,30.6367,30.7674,29.7029,29.8617,2864785,SEE
2014-02-13,29.6749,30.3005,29.6282,30.2632,1568897,SEE
2014-02-14,30.2258,30.4219,30.0951,30.1324,1126595,SEE
2014-02-18,30.1418,30.5806,30.1231,30.4873,1379770,SEE
2014-02-19,30.3472,30.8234,30.1885,30.2538,1420788,SEE
2014-02-20,30.2912,30.6227,29.8056,30.5526,1643160,SEE
2014-02-21,30.6273,30.9075,30.3659,30.6087,1546043,SEE
2014-02-24,30.5806,31.0895,30.534,30.6647,1958442,SEE
2014-02-25,30.6273,31.5798,30.6273,31.393,2343345,SEE
2014-02-26,31.4397,31.6545,30.9355,31.1129,2355665,SEE
2014-02-27,31.0569,31.3883,30.9355,31.2436,1606954,SEE
2014-02-28,31.281,32.2708,31.2436,31.7852,2412451,SEE
2014-03-03,31.4024,31.8319,31.2389,31.5518,1436615,SEE
2014-03-04,32.028,32.4902,31.9346,32.3548,1801584,SEE
2014-03-05,32.4579,32.5423,32.1486,32.2892,1513374,SEE
2014-03-06,32.4766,32.6641,32.233,32.4204,955242,SEE
2014-03-07,32.158,32.3173,31.2676,31.4175,2844805,SEE
2014-03-10,31.3894,31.4081,30.827,31.1832,1772914,SEE
2014-03-11,31.2582,31.4269,30.827,31.0426,1657984,SEE
2014-03-12,30.8458,31.2301,30.6536,30.7146,1540054,SEE
2014-03-13,30.8364,31.1551,30.1897,30.349,2102366,SEE
2014-03-14,30.2647,30.649,29.8804,30.0772,2086750,SEE
2014-03-17,30.3115,30.7052,30.0678,30.5177,1141460,SEE
2014-03-18,30.5271,30.8552,30.4521,30.7521,667274,SEE
2014-03-19,30.7989,30.8177,29.9085,30.1428,1140074,SEE
2014-03-20,30.0116,30.3771,29.9929,30.3771,911533,SEE
2014-03-21,30.5646,30.6396,30.096,30.2084,1603832,SEE
2014-03-24,30.2366,30.574,29.5055,29.8054,1082007,SEE
2014-03-25,29.8523,30.021,29.3743,29.9647,1600886,SEE
2014-03-26,30.1053,30.1803,29.2899,29.2899,1260872,SEE
2014-03-27,29.243,29.4399,28.8869,29.4024,1229353,SEE
2014-03-28,29.468,29.7773,29.3555,29.5523,799661,SEE
2014-03-31,29.8054,30.977,29.8054,30.8083,2265653,SEE
2014-04-01,31.0051,31.1363,30.3771,30.902,1735806,SEE
2014-04-02,30.8739,31.4363,30.6583,31.3519,2231625,SEE
2014-04-03,31.3707,31.5206,30.7286,31.0707,1902339,SEE
2014-04-04,31.3238,31.5206,30.1897,30.349,1720881,SEE
2014-04-07,30.1616,30.4053,29.5336,29.7492,2009961,SEE
2014-04-08,29.5992,29.9741,29.2805,29.6179,1522077,SEE
2014-04-09,29.6742,30.2553,29.3649,30.2459,1614660,SEE
2014-04-10,30.1522,30.2459,29.2055,29.3555,1739816,SEE
2014-04-11,29.0931,29.1493,28.3901,28.4557,1989767,SEE
2014-04-14,28.7744,28.9431,28.4932,28.765,2129690,SEE
2014-04-15,29.1681,29.7867,28.5495,29.7304,3079389,SEE
2014-04-16,30.096,30.3396,29.871,30.1334,1762299,SEE
2014-04-17,30.1241,30.3959,29.8991,30.2459,1386878,SEE
2014-04-21,30.274,30.6677,30.0022,30.6021,1283735,SEE
2014-04-22,30.5833,31.1832,30.4896,31.0239,1344596,SEE
2014-04-23,31.0426,31.2676,30.7521,31.1363,1833205,SEE
2014-04-24,31.2488,31.2676,30.902,31.052,2358705,SEE
2014-04-25,30.9489,30.9957,30.349,30.4802,2865618,SEE
2014-04-28,30.5459,30.8364,30.1334,30.349,1580175,SEE
2014-04-29,30.4802,30.7802,30.3303,30.5459,1636736,SEE
2014-04-30,34.3418,34.8667,31.4456,32.158,5148970,SEE
2014-05-01,31.933,32.0924,31.1363,31.455,4092298,SEE
2014-05-02,31.4081,31.6425,31.1176,31.1176,1773524,SEE
2014-05-05,30.9395,31.3894,30.7521,31.2769,1360692,SEE
2014-05-06,31.0895,31.3004,30.8177,30.8739,1574888,SEE
2014-05-07,30.8645,31.2394,30.4896,31.2301,1610653,SEE
2014-05-08,31.1176,31.6518,30.9114,31.0895,1877464,SEE
2014-05-09,31.0614,31.3144,30.7333,31.305,1764959,SEE
2014-05-12,31.4269,31.7174,31.4175,31.5769,1454618,SEE
2014-05-13,31.6518,31.7362,31.2535,31.2863,1000143,SEE
2014-05-14,31.4081,31.4363,30.977,31.0895,1224552,SEE
2014-05-15,30.9864,31.0707,30.1241,30.2647,2002367,SEE
2014-05-16,30.2553,30.6677,30.1991,30.6021,1636813,SEE
2014-05-19,30.5084,31.2863,30.4521,31.0239,1332681,SEE
2014-05-20,31.0145,31.0895,30.2366,30.3584,1225025,SEE
2014-05-21,30.4802,30.7614,30.3584,30.4802,756934,SEE
2014-05-22,30.5552,30.6321,30.4053,30.4615,740410,SEE
2014-05-23,30.5646,30.827,30.4053,30.7333,860721,SEE
2014-05-27,30.8739,31.3332,30.8177,31.1832,1317776,SEE
2014-05-28,31.1457,31.2863,30.8598,30.8833,1021840,SEE
2014-05-29,30.8833,31.0707,30.6302,31.0051,682620,SEE
2014-05-30,30.7708,30.9957,30.5365,30.8645,1846744,SEE
2014-06-02,30.9676,31.2104,30.7239,31.052,1152662,SEE
2014-06-03,30.9395,31.0895,30.7614,30.8645,1231955,SEE
2014-06-04,30.8175,30.9775,30.3093,30.3376,1723901,SEE
2014-06-05,30.507,30.681,30.187,30.5634,1023318,SEE
2014-06-06,30.6669,31.4009,30.6669,31.288,1445526,SEE
2014-06-09,31.3444,31.4574,31.0904,31.1092,931416,SEE
2014-06-10,31.9561,32.0878,31.288,31.7867,5985660,SEE
2014-06-11,31.495,31.7114,31.1751,31.6926,2397943,SEE
2014-06-12,31.6267,31.655,31.1845,31.2692,1646427,SEE
2014-06-13,31.3162,31.4009,31.0339,31.3256,1452332,SEE
2014-06-16,31.2597,32.1302,31.1374,32.0596,2679317,SEE
2014-06-17,31.9184,32.4548,31.8808,32.276,1834141,SEE
2014-06-18,32.2384,32.3513,31.7866,32.3137,1130807,SEE
2014-06-19,32.276,32.563,32.1913,32.4924,1236035,SEE
2014-06-20,32.5865,32.9253,32.5395,32.8783,2459952,SEE
2014-06-23,32.8877,33.0288,32.4454,32.6712,1239110,SEE
2014-06-24,32.5583,32.6242,32.2102,32.2384,1388543,SEE
2014-06-25,32.2384,32.4736,31.7773,32.069,1233195,SEE
2014-06-26,32.1443,32.4689,31.7867,32.436,1474619,SEE
2014-06-27,32.3231,32.7795,32.2948,32.6524,1860023,SEE
2014-06-30,32.6712,32.6995,32.0596,32.1537,1569276,SEE
2014-07-01,32.3042,32.3889,32.0314,32.1819,1590426,SEE
2014-07-02,32.022,32.1349,31.5515,31.5515,1328056,SEE
2014-07-03,31.7961,31.9749,31.4291,31.7773,1152395,SEE
2014-07-07,31.7397,31.7773,31.2503,31.288,813943,SEE
2014-07-08,31.1751,31.2974,30.9586,31.1562,1143315,SEE
2014-07-09,31.3633,31.495,31.1845,31.4385,1143835,SEE
2014-07-10,31.081,31.3821,30.8928,31.2503,1149859,SEE
2014-07-11,31.2503,31.3821,31.2033,31.2786,1016558,SEE
2014-07-14,31.5326,31.6832,31.3727,31.4197,765811,SEE
2014-07-15,31.5044,31.9279,31.288,31.6456,1121853,SEE
2014-07-16,31.7397,31.8714,31.5091,31.702,931414,SEE
2014-07-17,31.2503,31.6644,31.1845,31.4479,876580,SEE
2014-07-18,31.2503,31.6644,31.1845,31.4479,876580,SEE
2014-07-21,31.2221,31.4668,31.0527,31.4197,632704,SEE
2014-07-22,31.542,31.5982,30.9869,31.0057,1139996,SEE
2014-07-23,31.0057,31.0339,30.7234,30.7422,1076202,SEE
2014-07-24,30.7893,31.0527,30.507,30.5258,1531732,SEE
2014-07-25,30.4787,30.7987,30.4223,30.5352,1638195,SEE
2014-07-28,30.5634,30.6011,29.9141,29.9329,2609764,SEE
2014-07-29,29.9612,30.1682,29.7071,29.8012,2786234,SEE
2014-07-30,31.9937,32.436,30.4411,30.7704,6434818,SEE
2014-07-31,30.6293,30.6952,30.1964,30.2247,2927015,SEE
2014-08-01,30.2152,30.8645,30.0647,30.4411,2454991,SEE
2014-08-04,30.5352,31.0715,30.3752,31.0433,1330154,SEE
2014-08-05,30.7893,31.0245,30.5634,30.9022,1741117,SEE
2014-08-06,30.6857,31.4103,30.5916,31.3915,1906962,SEE
2014-08-07,31.5326,31.702,30.8928,31.1374,2152016,SEE
2014-08-08,31.1656,31.5138,30.8551,31.495,1042866,SEE
2014-08-11,31.5703,31.7114,31.1845,31.2786,1440410,SEE
2014-08-12,31.3068,31.4009,30.9869,31.1939,1255469,SEE
2014-08-13,31.3068,31.7679,31.1468,31.7397,1651912,SEE
2014-08-14,31.8243,32.5489,31.7114,32.5301,2123300,SEE
2014-08-15,32.643,32.8877,32.4736,32.7936,2420320,SEE
2014-08-18,32.9629,33.2264,32.7747,33.1982,2147248,SEE
2014-08-19,33.2264,33.631,33.1888,33.4617,2027162,SEE
2014-08-20,33.3299,33.5558,33.0665,33.4993,1441694,SEE
2014-08-21,33.5746,33.7628,33.3205,33.6969,1767283,SEE
2014-08-22,33.631,34.3556,33.5087,34.0545,2384017,SEE
2014-08-25,34.2145,34.2992,33.8569,33.9322,951965,SEE
2014-08-26,33.9604,34.0263,33.7251,33.8287,1037940,SEE
2014-08-27,33.9416,34.0216,33.7346,33.791,920464,SEE
2014-08-28,33.7157,33.8569,33.6122,33.6969,702856,SEE
2014-08-29,33.8192,34.0451,33.584,33.9698,1304678,SEE
2014-09-02,34.0733,34.525,33.951,34.3368,1766068,SEE
2014-09-03,34.639,34.7145,34.0629,34.1102,1378604,SEE
2014-09-04,34.1763,34.8184,34.1668,34.6201,1642364,SEE
2014-09-05,34.6107,35.1442,34.3085,35.1395,1669040,SEE
2014-09-08,35.1395,35.564,35.0262,35.0923,1735199,SEE
2014-09-09,34.9412,35.0734,34.7334,34.9318,1621866,SEE
2014-09-10,34.9506,34.9695,34.2896,34.7334,1238299,SEE
2014-09-11,34.6012,34.9412,34.5257,34.7712,1028937,SEE
2014-09-12,34.9506,35.1017,34.6815,34.9034,1917339,SEE
2014-09-15,34.8468,34.9601,34.4973,34.894,1984076,SEE
2014-09-16,34.8184,35.1017,34.4218,34.8373,1619514,SEE
2014-09-17,34.724,35.0073,33.9402,34.4879,2323606,SEE
2014-09-18,34.5823,34.7807,34.2329,34.4124,1881468,SEE
2014-09-19,34.554,34.6768,34.181,34.4218,3765160,SEE
2014-09-22,34.2801,34.4973,33.7891,33.9591,1238521,SEE
2014-09-23,33.9213,33.9591,33.4491,33.468,1450292,SEE
2014-09-24,33.4208,33.6191,33.0903,33.5813,1454392,SEE
2014-09-25,33.4963,33.6569,33.1091,33.2697,1479728,SEE
2014-09-26,33.2602,33.5813,33.1564,33.2508,1336632,SEE
2014-09-29,32.9486,33.5058,32.8164,33.4113,1404753,SEE
2014-09-30,33.383,33.5719,32.6417,32.9392,1491023,SEE
2014-10-01,32.9108,32.9203,31.8248,32.0703,3075381,SEE
2014-10-02,32.0042,32.1553,31.2299,31.7965,2158644,SEE
2014-10-03,31.9193,32.4575,31.9193,32.2687,2104054,SEE
2014-10-06,32.3914,32.5709,31.7776,31.8909,1548278,SEE
2014-10-07,31.5793,31.6029,30.701,30.7483,2651017,SEE
2014-10-08,30.7105,32.0703,30.1533,31.9665,3083881,SEE
2014-10-09,31.9665,32.0987,30.8427,30.9843,2183472,SEE
2014-10-10,30.9088,31.2582,30.2241,30.2289,2008148,SEE
2014-10-13,30.1911,30.5877,29.2278,29.2656,3092097,SEE
2014-10-14,29.4262,29.7,28.9823,29.3789,2060237,SEE
2014-10-15,28.8123,29.6197,28.189,29.4734,3255091,SEE
2014-10-16,28.869,30.5074,28.8029,30.38,2552482,SEE
2014-10-17,30.5594,31.1543,30.295,30.701,2856040,SEE
2014-10-20,30.6349,31.1166,30.5877,30.7766,2719573,SEE
2014-10-21,31.1071,31.787,30.9749,31.4848,3400353,SEE
2014-10-22,31.551,31.9948,30.871,30.8993,2732192,SEE
2014-10-23,31.1543,31.5698,31.0977,31.1638,2357051,SEE
2014-10-24,31.1638,31.6643,30.7671,31.6359,1198216,SEE
2014-10-27,31.2676,31.3715,30.6444,31.0504,3320068,SEE
2014-10-28,31.0977,32.0987,31.041,31.9759,4436514,SEE
2014-10-29,34.4029,34.7712,32.4481,32.7503,8625566,SEE
2014-10-30,33.0053,33.8401,32.8542,33.2508,5097892,SEE
2014-10-31,33.8269,34.384,33.5624,34.2329,3237162,SEE
2014-11-03,34.2424,34.5965,33.8174,34.3179,1850137,SEE
2014-11-04,34.3368,34.8373,34.3368,34.8184,2027639,SEE
2014-11-05,35.0167,35.6967,34.8751,35.6495,2565991,SEE
2014-11-06,35.6967,36.1405,35.5361,35.9894,2349674,SEE
2014-11-07,36.4238,36.8016,36.1122,36.726,3599227,SEE
2014-11-10,36.7921,37.0164,36.5372,36.5938,2543046,SEE
2014-11-11,36.3388,36.5372,35.8856,35.9989,5469712,SEE
