date,open,high,low,close,volume,Name
2014-01-24,185.2686,185.4777,181.1908,181.3619,815390,SHW
2014-01-27,182.0177,182.9968,179.9456,181.1432,720065,SHW
2014-01-28,185.0024,185.0024,180.9436,182.1983,539150,SHW
2014-01-29,180.725,183.2629,178.4627,179.765,1021794,SHW
2014-01-30,174.8887,177.4742,172.6075,174.6511,1610769,SHW
2014-01-31,172.7215,174.5922,171.733,174.1948,1089942,SHW
2014-02-03,174.461,174.5941,167.8738,168.1304,1253049,SHW
2014-02-04,168.4916,170.5543,167.7128,169.1475,723433,SHW
2014-02-05,168.0069,168.8243,165.6686,166.9138,1246741,SHW
2014-02-06,167.6552,170.3642,166.7712,170.3262,1070556,SHW
2014-02-07,169.2806,173.6721,169.2806,173.5295,931460,SHW
2014-02-10,172.3698,173.9287,171.8755,173.3299,578486,SHW
2014-02-11,174.0523,175.0408,172.7976,174.3469,663356,SHW
2014-02-12,175.4115,179.0996,175.0979,177.5883,1170368,SHW
2014-02-13,176.5807,181.1432,175.8963,181.0007,1047398,SHW
2014-02-14,180.5254,182.4455,179.7079,181.7136,741157,SHW
2014-02-18,181.5615,182.733,181.3856,181.9892,741604,SHW
2014-02-19,181.552,185.126,181.3334,183.5291,1029067,SHW
2014-02-20,184.261,185.2686,183.0158,183.8333,836084,SHW
2014-02-21,183.5196,185.0118,182.9493,184.0139,734686,SHW
2014-02-24,184.0329,188.0917,184.0329,184.9074,956121,SHW
2014-02-25,184.7458,188.8711,184.2135,187.6069,975617,SHW
2014-02-26,187.8445,190.0878,187.5784,188.738,716413,SHW
2014-02-27,188.4139,190.1487,187.9755,189.5101,634871,SHW
2014-02-28,189.5292,192.0646,188.6236,191.0924,901523,SHW
2014-03-03,189.2432,190.8255,188.3377,190.1583,560294,SHW
2014-03-04,192.7414,193.8566,190.7302,193.6564,639653,SHW
2014-03-05,193.5992,194.2617,192.8176,193.7613,597672,SHW
2014-03-06,193.7899,195.2959,192.7128,193.4944,604011,SHW
2014-03-07,195.0194,198.8607,194.5619,197.0306,1341571,SHW
2014-03-10,196.1823,197.1736,195.0099,196.4492,565348,SHW
2014-03-11,196.6017,197.2761,195.2196,195.3817,537762,SHW
2014-03-12,194.4475,195.3054,193.747,194.6763,606628,SHW
2014-03-13,195.4198,196.5321,192.3124,192.7223,472895,SHW
2014-03-14,192.5412,194.5619,191.8263,192.6174,508889,SHW
2014-03-17,193.3133,195.7534,193.3133,194.6572,400982,SHW
2014-03-18,194.8669,195.9917,194.4475,195.2101,456114,SHW
2014-03-19,195.4007,196.249,191.6929,192.7604,654479,SHW
2014-03-20,191.874,193.1226,190.8255,192.6556,475623,SHW
2014-03-21,194.4094,194.4189,190.4537,191.0256,1026586,SHW
2014-03-24,191.588,192.0455,188.4425,189.2718,519300,SHW
2014-03-25,190.5014,191.4355,188.576,188.6999,483938,SHW
2014-03-26,189.5864,190.225,186.6029,186.6029,401514,SHW
2014-03-27,186.6029,186.6029,183.5051,185.116,540497,SHW
2014-03-28,185.3257,187.2511,184.8491,185.5735,361628,SHW
2014-03-31,186.3265,188.1127,185.6116,187.8992,399237,SHW
2014-04-01,188.4711,189.8818,187.7563,189.7675,493856,SHW
2014-04-02,189.6054,191.569,188.7571,190.7016,604963,SHW
2014-04-03,191.3688,193.4729,189.9486,191.1114,665652,SHW
2014-04-04,189.5101,189.777,183.324,184.8109,1523899,SHW
2014-04-07,185.9548,186.5648,181.1222,181.4081,953282,SHW
2014-04-08,181.7131,183.4288,180.6742,182.9141,550780,SHW
2014-04-09,183.8578,185.6497,182.4947,185.5258,630428,SHW
2014-04-10,185.2685,186.2121,180.8076,181.1317,567099,SHW
2014-04-11,179.8354,182.123,179.435,179.7019,541536,SHW
2014-04-14,180.6932,183.2096,179.6352,181.208,534349,SHW
2014-04-15,181.6655,182.7759,179.435,182.5901,723512,SHW
2014-04-16,184.4201,185.1446,182.3327,183.2477,898019,SHW
2014-04-17,184.9158,190.6348,184.2487,188.3377,1405728,SHW
2014-04-21,189.2146,190.0439,187.3559,188.4997,636668,SHW
2014-04-22,188.4997,193.542,188.3949,193.237,861934,SHW
2014-04-23,193.8756,194.743,192.3696,192.4935,690054,SHW
2014-04-24,194.0853,194.3808,190.9875,191.6261,667386,SHW
2014-04-25,190.7969,191.5976,189.6721,191.3307,896750,SHW
2014-04-28,192.4459,192.5412,186.4504,189.5101,956005,SHW
2014-04-29,189.8723,190.6348,188.1413,190.4347,574829,SHW
2014-04-30,190.1964,191.0733,189.8675,190.4823,675693,SHW
2014-05-01,190.1583,191.0066,189.329,190.53,435702,SHW
2014-05-02,190.5205,192.1313,190.4728,191.4546,597628,SHW
2014-05-05,189.9772,191.3402,189.0001,190.3108,500500,SHW
2014-05-06,189.6435,190.5014,188.0899,189.1384,611693,SHW
2014-05-07,190.1678,190.7016,188.0517,189.92,651065,SHW
2014-05-08,189.9867,190.53,187.4703,188.2138,677582,SHW
2014-05-09,188.2614,190.5014,186.9365,190.4442,465175,SHW
2014-05-12,190.673,193.094,190.2155,192.3887,614053,SHW
2014-05-13,192.2552,192.6937,190.6634,190.8827,461071,SHW
2014-05-14,190.9208,191.3605,189.9268,190.1275,384886,SHW
2014-05-15,189.6592,190.2709,187.1932,189.5827,496062,SHW
2014-05-16,189.4393,191.1024,188.3688,191.0068,521753,SHW
2014-05-19,190.5863,192.7942,190.4955,190.615,480935,SHW
2014-05-20,190.9208,192.6604,190.6742,191.4656,648963,SHW
2014-05-21,191.5708,192.5457,190.5289,191.5803,450231,SHW
2014-05-22,191.437,192.5744,190.8252,191.5803,338828,SHW
2014-05-23,191.3031,193.75,190.9352,193.4632,592378,SHW
2014-05-27,194.6867,194.6867,192.8993,193.0905,436436,SHW
2014-05-28,193.4728,194.8969,192.7942,192.7942,429506,SHW
2014-05-29,193.7595,194.6006,192.842,194.3808,380699,SHW
2014-05-30,194.0845,196.2446,193.7787,195.566,440630,SHW
2014-06-02,195.4704,196.063,194.075,194.572,456109,SHW
2014-06-03,193.7595,195.7763,193.7595,194.7631,363702,SHW
2014-06-04,194.0272,195.2529,192.7273,194.8587,413136,SHW
2014-06-05,194.8778,195.6903,192.5935,194.9352,386710,SHW
