date,open,high,low,close,volume,Name
2014-01-24,45.7813,45.8041,44.3035,44.3869,3513286,STX
2014-01-27,44.3869,44.6142,43.8572,43.9928,4243366,STX
2014-01-28,40.7113,41.3782,38.2711,39.0441,17578701,STX
2014-01-29,39.0289,40.8932,38.9153,40.6583,5863287,STX
2014-01-30,40.6583,41.1357,40.1202,40.2415,4392779,STX
2014-01-31,39.7868,40.412,39.4988,40.0596,3404043,STX
2014-02-03,40.1733,40.4764,38.2938,38.7182,4608675,STX
2014-02-04,38.7864,39.0289,37.3617,37.8846,4807999,STX
2014-02-05,37.7179,38.2484,36.5356,37.2177,6074526,STX
2014-02-06,37.2253,38.0052,37.2253,37.6076,3545460,STX
2014-02-07,37.837,38.3569,37.3782,37.8599,3577313,STX
2014-02-10,37.8599,38.2692,37.4165,38.1428,3161575,STX
2014-02-11,38.0816,38.2269,37.6841,37.7452,2919719,STX
2014-02-12,38.0205,38.4333,37.5923,37.6229,3547855,STX
2014-02-13,37.5464,38.2269,37.2422,37.9211,3320259,STX
2014-02-14,37.8064,38.548,37.7911,38.3339,2691975,STX
2014-02-18,38.6168,38.9685,37.9975,38.0052,2940435,STX
2014-02-19,37.9593,38.1657,37.47,37.4853,2391573,STX
2014-02-20,37.6764,38.5021,37.4853,38.2422,3000532,STX
2014-02-21,39.4119,39.6031,38.7888,38.8003,3686941,STX
2014-02-24,38.9379,39.5113,38.6092,39.1138,2698614,STX
2014-02-25,39.3813,39.3813,38.5021,38.7544,1962640,STX
2014-02-26,38.8385,40.1229,38.6703,39.5495,2697314,STX
2014-02-27,39.519,39.7789,39.0182,39.6948,2033656,STX
2014-02-28,39.756,40.2682,39.2361,39.9012,4163198,STX
2014-03-03,39.5648,40.0725,39.2514,39.9777,2555246,STX
2014-03-04,40.2682,40.8034,40.1229,40.6581,3123188,STX
2014-03-05,40.467,40.8569,39.993,40.1841,2590654,STX
2014-03-06,40.1765,40.1765,37.8676,38.3033,6315797,STX
2014-03-07,38.4562,38.7009,37.1565,37.6841,5123783,STX
2014-03-10,37.8217,38.785,37.73,38.3339,3593687,STX
2014-03-11,38.5403,38.8462,37.7414,38.1351,3179881,STX
2014-03-12,37.8905,38.9914,37.7911,38.8003,2910786,STX
2014-03-13,38.7468,38.9532,37.8752,38.051,3383913,STX
2014-03-14,37.9287,38.8156,37.9287,38.3416,2066776,STX
2014-03-17,38.4715,39.626,38.4563,38.7774,3093045,STX
2014-03-18,38.6321,39.7713,38.5709,39.7024,3275046,STX
2014-03-19,39.5419,40.1841,39.259,39.5037,3186439,STX
2014-03-20,39.5648,41.0251,39.389,40.597,3513919,STX
2014-03-21,41.2315,41.8508,40.6046,40.8951,6306691,STX
2014-03-24,40.9257,41.0633,39.8706,40.5205,3426664,STX
2014-03-25,40.704,42.6077,40.5358,42.149,4556173,STX
2014-03-26,42.3554,43.3875,42.3554,42.4701,4493239,STX
2014-03-27,42.9823,43.0435,41.6367,41.9043,3485257,STX
2014-03-28,42.019,42.7499,41.7132,41.9884,2008761,STX
2014-03-31,42.1948,43.3264,41.7552,42.9364,2227402,STX
2014-04-01,43.334,44.0527,43.1199,43.5787,3069572,STX
2014-04-02,43.6016,43.8845,43.0358,43.701,2980406,STX
2014-04-03,43.7851,43.9839,43.204,43.8768,2625516,STX
2014-04-04,44.1521,44.6108,42.8218,42.86,4256364,STX
2014-04-07,42.86,43.1429,41.6138,42.019,3444867,STX
2014-04-08,42.1413,42.7682,41.8661,42.4624,2864338,STX
2014-04-09,42.6612,42.7377,41.9884,42.5771,3054167,STX
2014-04-10,42.6153,42.8065,41.2315,41.2468,3251314,STX
2014-04-11,40.9104,41.6902,40.5587,40.8187,2622024,STX
2014-04-14,42.0496,42.3936,41.3309,41.912,2807109,STX
2014-04-15,41.9272,42.1107,40.9425,41.9578,2627205,STX
2014-04-16,42.4166,42.6918,41.8049,42.5618,1673641,STX
2014-04-17,42.8676,42.8676,42.1643,42.4854,1916216,STX
2014-04-21,42.5389,42.8141,42.2254,42.5771,1707978,STX
2014-04-22,42.6841,42.7377,42.4318,42.5618,2207323,STX
2014-04-23,42.4701,42.4701,41.308,41.3691,2401471,STX
2014-04-24,41.7285,41.8814,41.0251,41.2392,1895214,STX
2014-04-25,41.0022,41.285,40.1229,40.3064,2571743,STX
2014-04-28,40.5205,40.7269,39.3584,40.2147,4751908,STX
2014-04-29,40.5893,41.1474,40.2758,40.8951,3768273,STX
2014-04-30,40.1459,42.2254,39.2819,40.1994,7607061,STX
2014-05-01,39.6795,40.2682,37.9058,38.8003,5977846,STX
2014-05-02,38.7009,39.5992,38.6397,39.022,3088185,STX
2014-05-05,38.7468,38.8423,38.1198,38.6168,2751335,STX
2014-05-06,38.6168,39.0373,38.3721,38.4257,2127788,STX
2014-05-07,38.5556,38.8691,37.6153,38.2192,3200054,STX
2014-05-08,38.074,38.7697,37.5159,37.6764,3077952,STX
2014-05-09,37.7529,38.0281,37.0724,37.8828,3541794,STX
2014-05-12,38.1451,38.4536,37.9368,38.3919,2305290,STX
2014-05-13,38.3533,39.3675,38.1497,39.1477,4452302,STX
2014-05-14,39.3096,39.8803,39.2479,39.5256,3567750,STX
2014-05-15,39.2711,39.4639,38.5461,39.2479,3184502,STX
2014-05-16,39.2633,39.5641,38.6386,39.4793,2303993,STX
2014-05-19,39.4716,40.05,39.3173,39.888,2903220,STX
2014-05-20,39.7415,39.8071,39.1168,39.2325,2029947,STX
2014-05-21,39.3405,39.9382,39.3405,39.4639,1522800,STX
2014-05-22,39.4716,40.0269,39.4176,39.8032,1988290,STX
2014-05-23,39.7955,40.0808,39.595,40.0654,2140349,STX
2014-05-27,40.2891,41.2531,40.2197,41.1529,3237458,STX
2014-05-28,41.0217,41.2608,40.7518,40.9678,2081410,STX
2014-05-29,40.9292,41.2146,40.4742,40.9215,1743848,STX
2014-05-30,41.2531,41.4787,40.9293,41.4382,2979164,STX
2014-06-02,41.4151,41.5462,40.9523,41.5076,1610911,STX
2014-06-03,41.2685,41.6079,41.1683,41.2994,1738747,STX
2014-06-04,41.2454,41.6233,41.068,41.3611,2417374,STX
2014-06-05,41.4922,42.0166,41.1143,41.9241,1984156,STX
2014-06-06,42.2634,42.865,41.8547,42.8033,3601266,STX
2014-06-09,42.8033,42.8419,42.0552,42.1477,1753137,STX
2014-06-10,42.1323,42.3483,41.685,42.0552,2083489,STX
2014-06-11,42.14,42.3174,41.6927,42.0321,1370183,STX
2014-06-12,42.0243,42.1477,41.5809,41.8161,2335784,STX
2014-06-13,42.703,42.9807,42.3483,42.6953,3423613,STX
2014-06-16,42.5642,43.1658,42.5334,43.1195,2129089,STX
2014-06-17,42.9113,44.099,42.8573,43.8213,2598230,STX
2014-06-18,43.7519,44.0758,43.212,44.0527,1867426,STX
2014-06-19,43.9833,44.0528,43.3586,43.6362,1924646,STX
2014-06-20,43.8059,44.1529,43.0578,43.3971,4148667,STX
2014-06-23,43.5051,43.5051,42.7107,43.1503,1853744,STX
2014-06-24,43.0269,43.5514,42.9575,43.1812,2951918,STX
2014-06-25,42.919,43.829,42.865,43.7828,1921350,STX
2014-06-26,43.6979,43.883,43.428,43.7365,1203106,STX
2014-06-27,43.5514,43.9756,43.3817,43.8984,1212779,STX
2014-06-30,44.0527,44.0758,43.6902,43.8213,1676681,STX
2014-07-01,44.1375,45.8342,44.1144,45.41,3610839,STX
2014-07-02,45.3021,45.626,45.2018,45.5257,1972639,STX
2014-07-03,45.6337,45.734,44.8162,45.7031,1757342,STX
2014-07-07,45.6183,45.7185,45.1093,45.4717,1698617,STX
2014-07-08,45.5951,45.9885,44.7545,45.2635,2359714,STX
2014-07-09,45.2867,45.6568,44.9859,45.1016,1530682,STX
2014-07-10,44.6697,45.6183,44.4614,45.3715,1484905,STX
2014-07-11,45.5566,46.0425,45.1787,45.8497,1436278,STX
2014-07-14,46.0656,46.2584,45.6183,46.0193,2387823,STX
2014-07-15,46.2353,47.0065,45.9461,46.0347,2104135,STX
2014-07-16,46.4743,47.5155,46.4666,47.2841,3161214,STX
2014-07-17,46.7597,47.1607,45.6684,45.8805,3668322,STX
2014-07-18,46.0425,46.0964,44.5386,45.3406,5444648,STX
2014-07-21,45.225,45.68,44.9165,45.1787,3337938,STX
2014-07-22,45.4717,46.135,45.1324,45.6877,3195887,STX
2014-07-23,45.8728,46.1813,45.572,45.6491,1355628,STX
2014-07-24,45.9499,46.0078,45.0321,45.9499,1842859,STX
2014-07-25,45.6568,46.0502,45.6414,45.8882,1050023,STX
2014-07-28,45.8882,46.1504,45.5412,45.6029,1730849,STX
2014-07-29,45.5489,46.0116,45.117,45.8034,1401028,STX
2014-07-30,45.973,46.4589,45.8574,46.3432,2009168,STX
2014-07-31,45.5257,46.5669,44.847,45.1941,3414771,STX
2014-08-01,45.0244,45.464,44.2763,44.8779,2999067,STX
2014-08-04,44.8008,45.4409,44.4691,45.2712,2225619,STX
2014-08-05,45.1864,45.5026,44.0604,44.2532,2397129,STX
2014-08-06,44.1211,44.3931,43.5539,44.2454,3585302,STX
2014-08-07,44.5873,44.6029,43.9268,44.1677,2744932,STX
2014-08-08,44.191,44.4475,43.6782,44.2687,2005739,STX
2014-08-11,44.4552,44.7894,44.1444,44.2921,1236160,STX
2014-08-12,44.2921,44.3853,43.7248,44.1367,1356940,STX
2014-08-13,45.3722,45.3722,44.1289,45.0147,1909449,STX
2014-08-14,44.8593,45.6053,44.8049,45.3722,1951706,STX
2014-08-15,45.7296,45.8462,45.1952,45.6519,2364372,STX
2014-08-18,45.8928,46.1881,45.7296,46.0171,1444445,STX
2014-08-19,45.9316,46.4134,45.9239,46.3046,1504962,STX
2014-08-20,46.2969,46.7476,46.2502,46.4911,1445489,STX
2014-08-21,46.6077,47.004,46.4212,46.9574,1447220,STX
2014-08-22,47.004,47.1982,46.8019,46.9068,1226446,STX
2014-08-25,47.0739,47.5013,46.9807,47.3692,1364532,STX
2014-08-26,47.307,47.5246,47.0195,47.1361,1478251,STX
2014-08-27,47.1128,47.851,47.1128,47.5401,1943466,STX
2014-08-28,47.5091,48.325,47.307,48.2473,2015676,STX
2014-08-29,48.3638,48.9155,48.0919,48.628,1776001,STX
2014-09-02,48.8767,49.1642,47.5635,48.0375,3370603,STX
2014-09-03,48.0996,48.2317,47.7072,47.9442,2745949,STX
2014-09-04,47.9442,48.0452,47.1128,47.3692,2902193,STX
2014-09-05,47.2371,47.6878,47.0351,47.6489,1941673,STX
2014-09-08,48.8144,48.8144,47.4003,47.6256,1292170,STX
2014-09-09,47.5401,47.9209,47.2371,47.2682,2127785,STX
2014-09-10,48.729,48.729,47.1205,47.6023,1431807,STX
2014-09-11,47.4547,47.6334,46.5611,47.2993,2470663,STX
2014-09-12,47.68,47.9442,46.5611,47.408,4207387,STX
2014-09-15,47.5168,47.5934,45.683,45.7218,3891055,STX
2014-09-16,45.5975,46.3202,44.9603,46.0365,4147074,STX
2014-09-17,45.9705,46.1725,45.2401,45.8306,4075102,STX
2014-09-18,45.8539,46.6038,45.7762,46.46,2959001,STX
2014-09-19,46.5455,46.5844,45.2945,45.31,4674361,STX
2014-09-22,44.9914,45.411,44.5135,44.7583,2419172,STX
2014-09-23,44.7428,44.8826,44.09,44.1289,2655618,STX
2014-09-24,44.2921,44.7661,43.8647,44.634,2203871,STX
2014-09-25,44.564,44.6884,43.4839,43.7132,2493561,STX
2014-09-26,43.7637,44.4008,43.6549,44.1133,1591829,STX
2014-09-29,43.6937,44.5329,43.3441,44.4863,2122807,STX
2014-09-30,44.4552,44.9059,44.0861,44.5019,2312168,STX
2014-10-01,44.3387,44.4863,42.6059,42.8001,4000859,STX
2014-10-02,42.9167,43.3285,42.2562,43.142,2314258,STX
2014-10-03,43.3596,44.0823,43.243,43.5772,2388552,STX
2014-10-06,43.8647,44.2144,43.2741,43.6393,2909856,STX
2014-10-07,43.3052,43.7947,42.9011,42.9322,2731585,STX
2014-10-08,42.9322,44.3853,42.2562,44.3387,3948682,STX
2014-10-09,44.1133,44.634,43.5772,43.6937,3328134,STX
2014-10-10,43.7792,44.16,42.6602,42.6913,4447533,STX
2014-10-13,41.7899,42.3572,41.0051,41.1683,4587430,STX
2014-10-14,41.5646,41.8133,40.7154,40.8419,3612625,STX
2014-10-15,39.9561,40.9896,39.1946,40.3757,5456062,STX
2014-10-16,39.7696,40.9818,39.6841,40.7021,3183967,STX
2014-10-17,41.0751,41.6578,40.8264,41.145,2022747,STX
2014-10-20,40.7565,41.8832,40.7254,41.8443,2290265,STX
2014-10-21,42.2639,42.9555,42.0075,42.9011,2052779,STX
2014-10-22,42.9555,43.1653,42.093,42.1746,1876006,STX
2014-10-23,43.3285,44.1056,43.1032,43.9152,3630152,STX
2014-10-24,44.09,45.5043,43.7947,45.3489,4484269,STX
2014-10-27,44.836,46.2192,44.4475,45.6441,3252698,STX
2014-10-28,45.2789,46.3575,45.2789,46.2114,3043851,STX
2014-10-29,46.2813,47.105,45.9783,46.8019,2953989,STX
2014-10-30,45.7995,46.9884,45.7685,46.7398,3182983,STX
2014-10-31,47.5324,48.8417,47.4003,48.8223,5945952,STX
2014-11-03,48.9,50.4152,48.729,49.8635,4963393,STX
2014-11-04,49.5527,50.5085,49.5527,49.646,4683649,STX
2014-11-05,49.7392,49.9531,49.0943,49.5333,2614378,STX
2014-11-06,49.6626,49.8272,48.7378,49.0043,3840043,STX
2014-11-07,48.9338,49.3099,47.9698,48.2441,3931473,STX
2014-11-10,48.2911,48.6085,48.1971,48.4087,2192519,STX
2014-11-11,48.5654,48.5811,48.1501,48.44,1844956,STX
2014-11-12,48.393,49.0513,48.2598,48.8397,1884198,STX
2014-11-13,48.8397,49.067,48.3303,48.6751,1251531,STX
