date,open,high,low,close,volume,Name
2014-01-24,73.6412,73.9485,72.7675,72.7771,2093651,STZ
2014-01-27,72.9788,73.7757,72.4315,72.7483,1700391,STZ
2014-01-28,72.7867,75.2254,72.7867,75.1102,2251409,STZ
2014-01-29,74.3613,75.1966,73.6412,74.7166,1919088,STZ
2014-01-30,75.0718,75.2638,73.9245,74.4957,1449716,STZ
2014-01-31,73.0076,74.0061,72.3259,73.6124,1841491,STZ
2014-02-03,73.2572,73.9005,72.4027,72.5467,1597801,STZ
2014-02-04,72.6715,73.7661,72.5467,73.43,1214604,STZ
2014-02-05,72.9115,72.9306,71.7114,72.4603,1454999,STZ
2014-02-06,72.7099,74.5918,72.5947,74.4957,1164389,STZ
2014-02-07,74.8702,74.9278,73.6796,74.4093,1240396,STZ
2014-02-10,74.7358,74.7838,73.2476,73.9965,1051330,STZ
2014-02-11,74.3325,75.6863,74.1597,75.6383,1327581,STZ
2014-02-12,75.6191,76.2624,75.2734,75.8495,1194219,STZ
2014-02-13,75.4655,76.464,75.283,76.272,1562666,STZ
2014-02-14,76.2432,77.0209,75.7727,76.2048,1389365,STZ
2014-02-18,76.5216,77.4625,76.3392,76.9729,1242107,STZ
2014-02-19,76.9537,77.7112,76.5312,76.8288,1083528,STZ
2014-02-20,76.9729,77.7698,76.8672,77.3857,1016445,STZ
2014-02-21,77.4145,77.7698,76.7808,77.1457,1026368,STZ
2014-02-24,77.3281,78.5667,77.3089,77.8466,1070307,STZ
2014-02-25,77.8562,79.2483,77.789,78.7971,1272290,STZ
2014-02-26,78.9219,79.5364,78.0962,78.6147,1283745,STZ
2014-02-27,78.6723,78.7395,77.9426,78.1442,911759,STZ
2014-02-28,78.3362,78.9315,77.4529,77.7986,1252901,STZ
2014-03-03,77.5489,78.0002,77.0209,77.9138,1751538,STZ
2014-03-04,78.4322,79.4404,78.4226,79.2195,1221197,STZ
2014-03-05,79.0275,79.8916,78.8451,79.4308,2195560,STZ
2014-03-06,79.6516,80.5685,79.3636,80.5061,1102428,STZ
