date,open,high,low,close,volume,Name
2014-07-31,21.8853,22.8368,21.5046,21.8853,56483860,SYF
2014-08-01,21.7901,21.8853,21.5713,21.8853,6458897,SYF
2014-08-04,21.9804,22.009,21.7901,21.8853,3455893,SYF
2014-08-05,21.8757,21.8948,21.5713,21.8853,4450212,SYF
2014-08-06,21.695,21.8662,21.5713,21.8662,6993351,SYF
2014-08-07,21.7806,21.8853,21.695,21.8187,3190375,SYF
2014-08-08,21.8187,21.9138,21.695,21.8377,2855023,SYF
2014-08-11,21.7901,21.8187,21.695,21.8187,1767541,SYF
2014-08-12,21.7806,21.8853,21.7235,21.8853,1549684,SYF
2014-08-13,21.8853,22.1041,21.7711,22.0565,1659078,SYF
2014-08-14,22.0756,22.0946,21.8377,21.8948,1391857,SYF
2014-08-15,21.9043,21.9614,21.8853,21.8853,1948218,SYF
2014-08-18,21.9424,22.047,21.9043,22.047,1073659,SYF
2014-08-19,22.0756,23.2507,22.0756,23.2269,2852039,SYF
2014-08-20,23.1223,24.3497,23.0842,23.9691,3549452,SYF
2014-08-21,24.2355,24.2831,23.7122,24.1594,2358073,SYF
2014-08-22,24.0262,24.1975,23.8835,24.1309,892137,SYF
2014-08-25,24.1404,24.1689,23.6741,23.9025,1185585,SYF
2014-08-26,23.7883,23.8835,23.7312,23.8359,951035,SYF
2014-08-27,23.7883,24.3022,23.7408,24.2355,1230580,SYF
2014-08-28,24.1689,24.5876,24.0833,24.4449,982632,SYF
2014-08-29,24.5591,24.6828,24.2165,24.54,982178,SYF
2014-09-02,24.4544,24.6447,24.2831,24.54,1873183,SYF
2014-09-03,24.7303,24.737,24.3878,24.54,996517,SYF
2014-09-04,24.2926,24.502,24.2736,24.4544,1117454,SYF
2014-09-05,24.4544,24.7589,24.3783,24.521,1090378,SYF
2014-09-08,24.5686,24.7208,23.4267,23.6361,2535161,SYF
2014-09-09,24.0738,24.3592,23.5029,23.8264,3608750,SYF
2014-09-10,23.9691,24.0785,23.4934,23.5029,1974609,SYF
2014-09-11,23.5504,23.8074,23.4363,23.4553,2029069,SYF
2014-09-12,23.3411,23.5504,23.2555,23.3126,1106815,SYF
2014-09-15,23.1698,23.1984,22.7607,22.9795,1125620,SYF
2014-09-16,23.0652,23.1793,22.7226,23.1318,1512128,SYF
2014-09-17,23.265,23.4934,23.1793,23.3601,940500,SYF
2014-09-18,23.3792,23.6361,23.3697,23.4743,879112,SYF
2014-09-19,23.6456,24.2546,23.5124,24.1785,5257854,SYF
2014-09-22,24.0548,24.1309,23.5504,23.6361,736969,SYF
2014-09-23,23.4648,23.5029,23.0081,23.3887,939952,SYF
2014-09-24,23.5314,23.7883,23.4791,23.7122,964624,SYF
2014-09-25,23.7693,23.7693,23.4172,23.4363,1350755,SYF
2014-09-26,23.4172,23.598,23.1603,23.5695,1252820,SYF
2014-09-29,23.3792,23.5742,23.1603,23.5029,1482038,SYF
