date,open,high,low,close,volume,Name
2014-01-24,72.5847,73.038,71.136,71.1547,1791263,SYK
2014-01-27,71.1547,71.7622,70.8369,71.3323,1235939,SYK
2014-01-28,71.7342,72.3978,71.5285,72.3791,1243554,SYK
2014-01-29,72.1921,72.3136,71.4818,71.8744,2155514,SYK
2014-01-30,72.2295,73.3231,72.1641,73.0333,2097340,SYK
2014-01-31,71.9304,72.7623,71.9117,72.5286,1563572,SYK
2014-02-03,72.7529,72.7529,71.3229,71.4725,3528302,SYK
2014-02-04,71.8276,72.2295,71.2481,71.7342,3908010,SYK
2014-02-05,71.4538,72.3604,71.2294,71.9678,1793696,SYK
2014-02-06,72.2295,73.2062,72.1267,73.0987,2302092,SYK
2014-02-07,73.3231,74.3418,73.1642,74.239,1344533,SYK
2014-02-10,74.239,75.183,73.9119,75.1643,2735973,SYK
2014-02-11,75.0895,75.9681,74.9306,75.8373,1229397,SYK
2014-02-12,75.8746,76.099,75.4167,75.6597,1340346,SYK
2014-02-13,75.2578,77.5103,75.1923,77.342,2446517,SYK
2014-02-14,77.6505,78.3795,77.0803,77.9028,2560619,SYK
2014-02-18,78.3328,78.3421,77.1504,77.2205,1805699,SYK
2014-02-19,76.828,77.2018,76.2392,76.3046,1756987,SYK
2014-02-20,76.2578,77.4308,75.8746,77.2486,1428144,SYK
2014-02-21,77.1925,77.6879,76.6411,76.7345,1602080,SYK
2014-02-24,76.7812,77.6318,76.7345,77.2112,1745537,SYK
2014-02-25,76.9401,77.2766,76.1363,76.2578,1594607,SYK
2014-02-26,76.3607,76.613,75.4635,75.8279,1853372,SYK
2014-02-27,75.8186,76.0055,75.3793,75.8653,1552771,SYK
2014-02-28,75.8653,76.1924,74.6222,74.9961,2490517,SYK
2014-03-03,74.2577,75.0615,74.239,74.6783,1503770,SYK
2014-03-04,75.7438,76.6878,75.5288,76.5195,1747698,SYK
2014-03-05,76.4541,76.5382,75.6784,75.7812,1339201,SYK
2014-03-06,75.9681,76.099,75.4354,75.6597,1024731,SYK
2014-03-07,76.0429,76.37,75.4167,76.3046,1380275,SYK
2014-03-10,76.0429,76.5289,76.0429,76.4541,994656,SYK
2014-03-11,76.3887,76.5289,75.9588,76.2952,1030850,SYK
2014-03-12,75.9401,76.3046,75.9307,76.2952,920419,SYK
2014-03-13,76.7999,76.8934,75.7999,75.912,1970650,SYK
2014-03-14,75.8373,76.3046,74.8933,75.0241,1490287,SYK
2014-03-17,75.2858,75.8559,75.2204,75.5101,1204541,SYK
2014-03-18,75.5756,76.2672,74.9961,76.2018,1414268,SYK
2014-03-19,76.2298,76.613,75.4541,75.912,985860,SYK
2014-03-20,75.7718,76.0148,75.2578,75.9868,912316,SYK
2014-03-21,76.5569,76.9214,75.4541,75.5756,2765700,SYK
2014-03-24,75.9027,75.9401,74.0053,74.1269,2157197,SYK
2014-03-25,74.3699,75.3606,74.1923,74.7157,1154929,SYK
2014-03-26,75.0615,75.4167,74.3886,74.3886,1166100,SYK
2014-03-27,74.4308,75.0406,73.8866,74.9374,1163718,SYK
2014-03-28,75.2658,76.1384,75.1626,75.566,828082,SYK
2014-03-31,75.7912,76.6263,75.4628,76.4386,1112315,SYK
2014-04-01,76.8233,77.1048,76.3213,76.8233,1082808,SYK
2014-04-02,76.7388,77.4894,76.7388,77.208,2052722,SYK
2014-04-03,77.4613,79.0282,77.2549,78.9343,2873837,SYK
2014-04-04,79.1501,79.6099,77.3956,77.4988,1570728,SYK
2014-04-07,77.2643,77.3959,75.7631,76.2134,1505845,SYK
2014-04-08,76.1947,76.6075,75.4534,76.2416,1764717,SYK
2014-04-09,76.2603,77.086,75.9226,77.0297,1426037,SYK
2014-04-10,77.0672,77.1329,74.5246,74.7216,1201565,SYK
2014-04-11,74.3651,75.0875,74.1774,74.4589,1894608,SYK
2014-04-14,75.3033,75.3878,74.2431,74.8717,1572204,SYK
2014-04-15,74.9468,75.1251,72.6106,74.6559,2291088,SYK
2014-04-16,75.2846,75.2939,73.4456,74.1681,2154840,SYK
2014-04-17,73.896,74.5434,73.6455,73.9147,1337167,SYK
2014-04-21,73.9992,74.8061,73.9335,74.5715,2066777,SYK
2014-04-22,74.7029,74.853,73.8397,73.8772,1729931,SYK
2014-04-23,73.8772,74.2197,73.211,73.5488,1904469,SYK
2014-04-24,75.5285,75.7912,72.1415,73.0703,4159739,SYK
2014-04-25,72.7888,73.6051,71.935,71.9819,2050607,SYK
2014-04-28,72.3666,72.5261,71.1,72.0852,2373696,SYK
2014-04-29,72.3948,73.4362,72.1508,73.0891,1612419,SYK
2014-04-30,73.0891,73.2046,72.5167,72.9483,1116890,SYK
2014-05-01,72.939,73.1266,72.3572,72.6481,1164304,SYK
2014-05-02,72.6481,73.211,72.4886,73.014,1057447,SYK
2014-05-05,72.892,74.0555,72.5449,73.9616,1700556,SYK
2014-05-06,73.7458,74.5246,73.6145,74.1587,1701847,SYK
2014-05-07,73.9053,74.5715,73.5676,74.5152,1261666,SYK
2014-05-08,74.5058,75.4534,74.4448,75.0969,1562823,SYK
2014-05-09,74.9937,75.6505,74.5058,75.6411,1263513,SYK
2014-05-12,75.8006,76.3635,75.5942,76.0915,1307709,SYK
2014-05-13,76.3823,76.4105,75.3737,75.3878,1379137,SYK
2014-05-14,75.2377,75.2658,74.3932,75.1626,1688127,SYK
2014-05-15,74.8436,74.8717,73.9804,74.2337,1254236,SYK
2014-05-16,74.1493,75.1814,74.0179,75.1532,1420353,SYK
2014-05-19,74.6559,75.3972,74.5527,75.1532,949617,SYK
2014-05-20,75.2283,75.5754,74.7779,75.1063,1498218,SYK
2014-05-21,75.1532,75.4534,75.0031,75.4065,701648,SYK
2014-05-22,75.4159,75.6505,74.9749,75.6129,853159,SYK
2014-05-23,75.4722,75.6036,75.172,75.3127,632496,SYK
2014-05-27,75.4628,75.5097,75.0219,75.3972,732853,SYK
2014-05-28,78.3432,78.681,76.57,77.5363,5572972,SYK
2014-05-29,78.0805,78.7185,77.8741,78.7091,1452891,SYK
2014-05-30,80.1071,80.3229,77.982,79.2721,3349383,SYK
2014-06-02,79.4973,79.835,79.0,79.5911,1177705,SYK
2014-06-03,79.4879,80.4637,79.1853,80.1822,1687441,SYK
2014-06-04,80.1071,80.7639,79.835,80.2479,2347979,SYK
2014-06-05,80.1822,80.6419,79.9758,80.4824,1083794,SYK
2014-06-06,80.4637,80.7967,80.0039,80.276,1318397,SYK
2014-06-09,80.1259,80.2854,79.7318,80.2197,1051776,SYK
2014-06-10,80.4449,80.4449,79.4504,79.8444,1003456,SYK
2014-06-11,80.0133,80.0133,79.2346,79.5254,979594,SYK
2014-06-12,79.5817,79.5817,78.3526,78.6059,1539082,SYK
2014-06-13,78.8311,78.8405,78.1368,78.2869,977097,SYK
2014-06-16,79.0,81.1767,78.7842,79.3847,2338607,SYK
2014-06-17,79.0094,79.2158,78.4934,78.6247,1152613,SYK
2014-06-18,78.362,79.2533,78.362,79.2158,935803,SYK
2014-06-19,79.3753,80.3792,79.3753,80.3511,1298340,SYK
2014-06-20,80.914,81.5614,80.6982,80.7639,2118813,SYK
2014-06-23,80.5763,80.9234,79.8866,79.9945,890649,SYK
2014-06-24,79.8163,80.3042,79.4316,79.4973,694398,SYK
2014-06-25,80.3135,80.3605,79.835,80.2197,1034693,SYK
2014-06-26,80.2527,80.2527,79.6124,79.6689,1083948,SYK
2014-06-27,79.537,79.8948,78.9156,79.0662,1642215,SYK
2014-06-30,79.1792,79.5559,79.0003,79.3958,1586771,SYK
2014-07-01,80.0267,80.8741,79.7724,80.5069,1178372,SYK
2014-07-02,80.2432,80.601,79.9325,80.4127,653308,SYK
2014-07-03,80.5351,80.714,80.1397,80.6293,443447,SYK
2014-07-07,80.6858,80.8929,80.0361,80.5634,789657,SYK
2014-07-08,80.4786,80.4786,78.9532,79.0286,1326385,SYK
2014-07-09,79.1792,79.3628,78.6425,79.0757,951837,SYK
2014-07-10,78.5201,79.0097,77.8516,78.7932,1088751,SYK
2014-07-11,78.6896,79.1416,78.586,79.1133,562736,SYK
2014-07-14,79.4711,79.5559,78.3695,78.5766,1232774,SYK
2014-07-15,77.0795,79.0945,77.0795,77.9081,1787406,SYK
2014-07-16,78.3789,78.3789,77.3431,77.4843,1295441,SYK
2014-07-17,77.3431,78.0022,76.2697,77.3619,1411691,SYK
2014-07-18,77.3431,78.0022,76.2697,77.3619,1411691,SYK
2014-07-21,77.1077,77.4184,76.4674,76.8252,1460955,SYK
2014-07-22,77.1548,77.5691,76.8629,77.1077,1111990,SYK
2014-07-23,77.4561,77.5973,76.8535,77.0324,1429392,SYK
2014-07-24,77.0983,77.0983,75.846,76.0719,4129401,SYK
2014-07-25,76.119,76.3638,75.4317,75.7424,1730352,SYK
2014-07-28,75.8271,75.8271,75.1398,75.4128,2007129,SYK
2014-07-29,75.4599,75.9213,75.2716,75.5352,1542360,SYK
2014-07-30,75.7141,76.0719,75.4128,75.7141,1233637,SYK
2014-07-31,75.4599,75.8365,75.0456,75.1115,2001018,SYK
2014-08-01,75.3281,76.0437,75.0833,75.8742,1183479,SYK
2014-08-04,75.3281,76.0437,75.0833,75.8742,1183479,SYK
2014-08-05,75.5823,76.0343,75.0927,75.3187,1350081,SYK
2014-08-06,74.7537,75.5164,74.7537,75.1586,1406556,SYK
2014-08-07,75.2339,75.4505,74.3592,74.6219,1840847,SYK
2014-08-08,74.8573,75.2805,74.3017,75.1492,1133618,SYK
2014-08-11,75.4505,75.4505,74.8384,74.9044,739553,SYK
2014-08-12,75.3092,75.3469,74.7914,74.942,1442849,SYK
2014-08-13,75.3187,76.0814,75.2245,76.0343,1629498,SYK
2014-08-14,76.1661,76.6275,75.846,76.1944,1092957,SYK
2014-08-15,76.4768,76.4768,75.1209,75.7706,907225,SYK
2014-08-18,76.3262,76.6181,76.0154,76.571,743324,SYK
