date,open,high,low,close,volume,Name
2014-01-24,67.7087,67.8625,65.9825,66.1277,3172719,TROW
2014-01-27,66.1448,66.7858,65.3757,65.3843,2278731,TROW
2014-01-28,68.5035,69.5632,67.1789,68.965,3468677,TROW
2014-01-29,68.9308,68.9308,67.1191,67.478,2611289,TROW
2014-01-30,68.0164,68.3924,67.4865,67.9822,1572074,TROW
2014-01-31,66.9311,67.9566,66.3841,67.0336,1833166,TROW
2014-02-03,67.0678,67.1908,64.5809,64.6664,2122024,TROW
2014-02-04,65.1279,67.1191,64.786,66.3841,2285383,TROW
2014-02-05,66.0508,66.5422,65.1962,65.6321,1512021,TROW
2014-02-06,65.7945,66.2617,65.7175,66.1619,1019306,TROW
2014-02-07,66.743,67.9736,66.2559,67.8027,2077562,TROW
2014-02-10,67.9053,68.136,67.3669,67.8967,1332804,TROW
2014-02-11,67.7856,68.8026,67.5207,68.5206,1242714,TROW
2014-02-12,68.4351,69.2812,68.2813,68.9735,1518389,TROW
2014-02-13,68.5377,69.1237,68.0249,68.8966,1079697,TROW
2014-02-14,68.8624,69.2641,68.606,69.0761,1106441,TROW
2014-02-18,68.9564,69.2812,68.4608,68.9308,876474,TROW
2014-02-19,68.4864,69.6572,68.2044,68.2728,1014525,TROW
2014-02-20,68.5633,68.7599,67.7728,68.4522,851730,TROW
2014-02-21,68.5975,68.9265,68.1189,68.3668,875352,TROW
2014-02-24,68.3838,69.5546,68.3838,69.1017,1007459,TROW
2014-02-25,69.1615,69.2726,68.3838,68.4522,931891,TROW
2014-02-26,68.4522,68.8795,67.7685,67.9566,1313667,TROW
2014-02-27,67.8198,68.8795,67.4182,68.7257,1167380,TROW
2014-02-28,68.8453,69.811,68.4693,69.3666,1510986,TROW
2014-03-03,68.4522,68.6189,67.7002,68.2215,1226119,TROW
2014-03-04,69.2042,69.9477,68.9479,69.8025,1064226,TROW
2014-03-05,69.8366,69.9563,69.4863,69.6828,950047,TROW
2014-03-06,69.3581,70.8792,69.3581,70.3921,1447941,TROW
2014-03-07,70.8707,71.5074,70.3579,70.9305,1181781,TROW
2014-03-10,71.2467,71.5544,70.6827,71.5373,1296432,TROW
2014-03-11,71.6996,71.7424,70.4519,70.6741,1380787,TROW
2014-03-12,70.3992,70.6569,69.7548,70.3047,1488216,TROW
2014-03-13,70.7772,71.3786,69.1018,69.3854,1333881,TROW
2014-03-14,69.4283,70.2187,68.6895,68.973,1470937,TROW
2014-03-17,69.6775,70.4164,69.4971,70.0899,996755,TROW
2014-03-18,70.0985,70.5452,69.7728,70.2187,959296,TROW
2014-03-19,70.2016,70.4507,69.2307,69.5314,1506347,TROW
2014-03-20,69.4541,71.0178,69.2909,70.8975,2124221,TROW
2014-03-21,71.8168,72.5127,70.8803,71.2411,3239952,TROW
2014-03-24,71.4387,71.748,70.3992,70.7171,1165569,TROW
2014-03-25,71.3442,71.9714,70.0985,70.7944,1022716,TROW
2014-03-26,71.138,71.3528,70.004,70.0211,1111475,TROW
2014-03-27,69.8923,70.248,69.3252,69.5916,1493832,TROW
2014-03-28,69.7376,70.9233,69.2737,70.1672,917257,TROW
2014-03-31,70.7858,71.4044,70.5538,70.7514,1130126,TROW
2014-04-01,71.3271,71.7137,70.9147,71.4731,1468576,TROW
2014-04-02,71.9113,72.2378,71.4559,72.1261,937076,TROW
2014-04-03,72.3495,72.7962,71.2841,71.7395,837310,TROW
2014-04-04,72.0917,72.0917,69.9567,70.0899,1199654,TROW
2014-04-07,70.0469,70.7085,68.2427,68.3028,1850246,TROW
2014-04-08,68.4059,68.6302,67.9592,68.3802,1913253,TROW
2014-04-09,68.5692,68.7324,68.3028,68.6207,2126699,TROW
2014-04-10,68.7152,69.1448,67.0227,67.1129,1972478,TROW
2014-04-11,66.6189,66.7649,65.9487,66.3697,1889190,TROW
2014-04-14,66.9711,67.2633,66.3697,67.0055,1258720,TROW
2014-04-15,67.0914,68.1224,66.6704,68.088,2149552,TROW
2014-04-16,68.8785,69.3338,68.2771,69.0245,1512650,TROW
2014-04-17,69.1706,69.5744,69.0142,69.2737,1740715,TROW
2014-04-21,69.4541,69.5847,69.0503,69.2565,789652,TROW
2014-04-22,69.2565,70.0555,69.1448,69.7806,1331315,TROW
2014-04-23,71.2841,71.5676,69.3338,69.7462,1575003,TROW
2014-04-24,71.0349,72.5556,70.1414,70.2961,2316603,TROW
2014-04-25,70.9834,71.138,69.4283,69.8923,2021488,TROW
2014-04-28,69.961,70.571,68.4661,69.583,1722681,TROW
