date,open,high,low,close,volume,Name
2014-01-24,30.2673,30.3248,29.5394,29.6543,1667327,TSS
2014-01-27,29.6256,29.7022,29.003,29.0221,2105301,TSS
2014-01-28,28.9934,29.3574,28.7922,29.2903,1538346,TSS
2014-01-29,26.1199,30.1045,25.8613,29.2424,4025936,TSS
2014-01-30,29.4819,29.501,29.0125,29.3861,1282776,TSS
2014-01-31,28.9072,29.2397,28.5863,28.6198,2829776,TSS
2014-02-03,28.5528,28.6486,27.4704,27.5567,2956472,TSS
2014-02-04,27.6237,27.7961,27.4226,27.6524,1782793,TSS
2014-02-05,27.4896,27.5853,27.0777,27.4992,2369151,TSS
2014-02-06,27.5758,27.7865,27.5088,27.6812,1250645,TSS
2014-02-07,27.8057,28.2846,27.7003,28.2559,1465695,TSS
2014-02-10,28.1122,28.2942,27.9494,28.1697,1479658,TSS
2014-02-11,28.1601,28.5432,28.1314,28.3995,1144511,TSS
2014-02-12,28.4474,28.6965,28.3133,28.3421,1485340,TSS
2014-02-13,28.1984,28.3612,28.0547,28.2367,1470922,TSS
2014-02-14,28.2175,28.3516,27.9781,28.2942,883811,TSS
2014-02-18,28.3038,28.4666,28.1505,28.3708,901468,TSS
2014-02-19,28.4474,28.8018,28.39,28.4379,1406571,TSS
2014-02-20,28.5049,28.6582,28.1984,28.5911,1138227,TSS
2014-02-21,28.6677,28.8976,28.4666,28.8401,1470580,TSS
2014-02-24,28.821,29.1562,28.8018,28.9647,1564617,TSS
2014-02-25,28.9263,29.2137,28.821,29.0796,1348669,TSS
2014-02-26,29.1275,29.3957,29.0125,29.1371,1527896,TSS
2014-02-27,29.252,29.3765,29.0317,29.2999,987878,TSS
2014-02-28,29.3286,29.434,28.9455,29.1754,1562321,TSS
2014-03-03,28.8306,29.1754,28.7539,28.9647,1745555,TSS
2014-03-04,29.434,29.616,29.3861,29.5968,910095,TSS
2014-03-05,29.5585,29.616,29.2999,29.3765,1125975,TSS
2014-03-06,29.4723,29.6064,29.4148,29.5489,878033,TSS
2014-03-07,29.6926,29.7501,29.4148,29.501,1219937,TSS
2014-03-10,29.4915,29.616,29.3861,29.434,1368485,TSS
2014-03-11,29.4915,29.5202,29.2041,29.4053,1053771,TSS
2014-03-12,29.2616,29.5441,29.2041,29.434,1090060,TSS
2014-03-13,29.5394,29.5777,29.0509,29.1562,1191316,TSS
2014-03-14,29.07,29.1466,28.7252,28.8976,1460559,TSS
2014-03-17,29.0125,29.2616,28.9072,29.185,1070814,TSS
2014-03-18,29.3772,29.7904,29.1946,29.627,1232416,TSS
2014-03-19,29.6462,29.7135,29.4252,29.4829,1260045,TSS
2014-03-20,29.4156,29.7231,29.3291,29.6366,556361,TSS
2014-03-21,29.7615,29.9057,29.3243,29.4348,1651284,TSS
2014-03-24,29.4156,29.5213,28.9351,29.0312,896826,TSS
2014-03-25,29.1561,29.1561,28.5892,28.839,1310905,TSS
2014-03-26,28.9159,28.9928,28.3777,28.3777,1327456,TSS
2014-03-27,28.4162,28.5699,28.1855,28.5315,1150068,TSS
2014-03-28,28.6372,29.2426,28.4642,29.233,1781303,TSS
2014-03-31,29.3483,29.3964,28.8198,29.2234,2258773,TSS
2014-04-01,29.2714,29.2714,28.8774,29.1754,1559708,TSS
2014-04-02,29.2234,29.3483,29.0696,29.1273,1204966,TSS
2014-04-03,29.185,29.185,28.9159,28.9928,1260813,TSS
2014-04-04,29.0793,29.1177,28.7045,28.7429,1813094,TSS
2014-04-07,28.6852,28.8006,28.2144,28.4642,1255828,TSS
2014-04-08,28.4354,28.8582,28.397,28.6949,1129041,TSS
2014-04-09,28.8486,29.2811,28.7429,29.2426,1784469,TSS
2014-04-10,29.3099,29.3675,28.2336,28.2432,1348695,TSS
2014-04-11,28.051,28.2912,27.681,27.6858,1396330,TSS
2014-04-14,27.8684,27.9261,27.3351,27.5801,1594242,TSS
2014-04-15,27.657,27.9549,27.3687,27.8396,1214534,TSS
2014-04-16,28.0991,28.224,27.9549,28.1855,991834,TSS
2014-04-17,28.0991,28.4834,28.0318,28.2912,888890,TSS
2014-04-21,28.3297,28.445,27.7339,27.83,1767888,TSS
2014-04-22,27.878,28.2912,27.7531,28.0606,1918006,TSS
2014-04-23,27.3975,28.0798,27.0708,27.657,2914468,TSS
2014-04-24,27.83,28.3873,27.7147,28.2432,2671997,TSS
2014-04-25,28.1471,29.1369,28.0606,28.6276,3580053,TSS
2014-04-28,28.791,29.0168,28.4931,28.9543,2548323,TSS
2014-04-29,29.06,29.7135,28.9543,29.5982,2867524,TSS
2014-04-30,29.6078,30.588,29.6078,30.5303,2870226,TSS
2014-05-01,30.5496,30.9051,30.5015,30.5688,2235737,TSS
2014-05-02,30.6553,31.4289,30.5496,31.0685,2461473,TSS
2014-05-05,30.9436,31.5201,30.7994,31.424,2370517,TSS
2014-05-06,31.3183,31.6739,31.1261,31.1838,2684933,TSS
2014-05-07,31.3087,31.4,30.6456,31.1261,3177222,TSS
2014-05-08,30.9628,31.4048,30.9628,31.0589,1422472,TSS
2014-05-09,31.0973,31.0973,30.612,30.8859,1501765,TSS
2014-05-12,31.0493,31.2943,30.9724,31.2607,1505429,TSS
2014-05-13,31.2991,31.3952,30.8378,30.9051,1962812,TSS
2014-05-14,30.982,31.0204,30.3862,30.4342,2320325,TSS
2014-05-15,30.3862,30.3862,29.7712,29.8096,2046847,TSS
2014-05-16,30.1555,30.3285,29.7039,29.973,2715467,TSS
2014-05-19,29.8673,30.0787,29.7712,29.9537,2053570,TSS
2014-05-20,29.973,29.973,29.4829,29.4829,1425248,TSS
2014-05-21,29.5309,29.6558,29.3675,29.5886,1427928,TSS
2014-05-22,29.627,29.627,29.3964,29.4252,1597145,TSS
2014-05-23,29.4733,29.7231,29.43,29.5309,1155342,TSS
2014-05-27,29.7231,29.7519,29.4829,29.5117,1436979,TSS
2014-05-28,29.5021,29.6462,29.3099,29.4156,1233069,TSS
2014-05-29,29.5213,29.6366,29.2907,29.3868,1450663,TSS
2014-05-30,29.3483,29.579,29.0696,29.0793,4027880,TSS
2014-06-02,29.1273,29.4925,29.0985,29.3483,2058790,TSS
2014-06-03,29.2522,29.3195,29.0889,29.185,1107605,TSS
2014-06-04,29.0024,29.406,28.9447,29.3964,908601,TSS
2014-06-05,29.3964,29.6462,29.1465,29.5886,1097126,TSS
2014-06-06,29.6654,29.973,29.6078,29.9345,1160866,TSS
2014-06-09,29.8961,30.0691,29.6847,29.8192,1503030,TSS
2014-06-10,29.7712,29.9249,29.6078,29.7615,628781,TSS
2014-06-11,29.6174,29.7231,29.4636,29.5021,633434,TSS
2014-06-12,29.4636,29.4733,29.06,29.185,775888,TSS
2014-06-13,29.2522,29.3868,29.0985,29.3003,654332,TSS
2014-06-16,29.2522,29.4636,28.8871,28.9063,786964,TSS
2014-06-17,28.8484,29.1955,28.752,29.1184,954273,TSS
2014-06-18,29.0991,29.5715,28.9738,29.5619,1637250,TSS
2014-06-19,29.5619,29.5908,29.1859,29.4173,1126203,TSS
2014-06-20,29.5041,29.8415,29.4857,29.7451,1349294,TSS
2014-06-23,29.7162,29.774,29.5426,29.6583,879736,TSS
2014-06-24,29.6294,30.1501,29.5706,29.6776,967786,TSS
2014-06-25,29.6005,30.1404,29.6005,30.044,1288527,TSS
2014-06-26,29.9379,30.0536,29.8512,30.044,1035875,TSS
2014-06-27,30.0054,30.42,29.909,30.3236,1628310,TSS
2014-06-30,30.3043,30.4152,30.1693,30.285,1203197,TSS
2014-07-01,30.3525,30.9214,30.3525,30.7671,1050832,TSS
2014-07-02,30.7382,30.8539,30.6129,30.6707,782004,TSS
2014-07-03,30.7286,30.9503,30.5743,30.9118,578459,TSS
2014-07-07,30.7575,31.0516,30.7093,30.9021,1310653,TSS
2014-07-08,30.8057,30.96,30.69,30.7382,1071082,TSS
2014-07-09,30.7961,30.8636,30.6804,30.825,735469,TSS
2014-07-10,30.4779,30.69,30.4104,30.555,795959,TSS
2014-07-11,30.5454,30.6032,30.4007,30.5357,728890,TSS
2014-07-14,30.6804,30.8154,30.6129,30.7479,496469,TSS
2014-07-15,30.7189,30.7286,30.449,30.6032,980696,TSS
2014-07-16,30.7575,30.8154,30.5165,30.7189,755422,TSS
2014-07-17,30.6418,30.8154,30.1115,30.1501,1091591,TSS
2014-07-18,30.2658,30.6514,30.1742,30.6032,860269,TSS
2014-07-21,30.3815,30.555,30.3043,30.449,1071936,TSS
2014-07-22,30.555,30.7961,30.4104,30.7768,1138378,TSS
2014-07-23,29.8897,31.4228,29.803,31.095,1848305,TSS
2014-07-24,31.1625,31.5096,31.1528,31.2492,804397,TSS
2014-07-25,31.0757,31.1914,30.9793,31.095,674314,TSS
2014-07-28,31.0757,31.2107,30.7768,31.1721,631707,TSS
2014-07-29,31.2203,31.3456,31.0468,31.1721,749361,TSS
2014-07-30,31.2107,31.2396,30.9214,31.1625,1236527,TSS
2014-07-31,31.0178,31.0275,30.7189,30.8539,1910275,TSS
2014-08-01,30.8443,30.9889,30.69,30.9503,1031391,TSS
2014-08-04,30.8443,30.9889,30.69,30.9503,1031391,TSS
2014-08-05,30.8346,30.9889,30.6225,30.7093,973786,TSS
2014-08-06,30.4682,30.6322,30.3622,30.449,1768827,TSS
2014-08-07,30.5357,30.6846,30.285,30.3718,1186207,TSS
2014-08-08,30.314,30.449,29.9283,30.4104,1359497,TSS
2014-08-11,30.5068,30.5743,30.2127,30.2561,675903,TSS
2014-08-12,30.179,30.2947,29.9524,30.044,852925,TSS
2014-08-13,30.179,30.3959,30.1115,30.2175,885389,TSS
2014-08-14,30.2947,30.4007,30.2272,30.3429,679836,TSS
2014-08-15,30.3911,30.4972,29.7837,29.9187,1240633,TSS
2014-08-18,30.0922,30.6032,30.0585,30.5936,696439,TSS
2014-08-19,30.6225,30.69,30.4586,30.5165,544915,TSS
2014-08-20,30.4297,30.4586,30.1501,30.2561,673219,TSS
2014-08-21,30.2947,30.5936,30.1404,30.5454,830980,TSS
2014-08-22,30.5165,30.5743,30.2947,30.3815,511812,TSS
2014-08-25,30.4875,30.6322,30.4104,30.4393,530646,TSS
2014-08-26,30.4393,30.6514,30.4393,30.6129,704050,TSS
2014-08-27,30.6129,30.6707,30.1308,30.2658,813898,TSS
2014-08-28,30.1404,30.2079,30.0344,30.1404,337798,TSS
2014-08-29,30.2079,30.4007,30.0344,30.3333,475553,TSS
2014-09-02,30.3236,30.4779,30.1404,30.1693,785697,TSS
2014-09-03,30.314,30.3718,30.2272,30.2658,950721,TSS
2014-09-04,30.285,30.4779,29.9379,30.0633,996656,TSS
2014-09-05,30.0633,30.3429,29.9379,30.3429,721561,TSS
2014-09-08,30.3236,30.3236,30.1211,30.2947,640600,TSS
2014-09-09,30.2368,30.314,29.8126,29.8994,608867,TSS
