date,open,high,low,close,volume,Name
2014-01-24,84.42,86.98,83.32,83.97,1659956,ULTA
2014-01-27,83.655,84.6,82.5,83.11,874534,ULTA
2014-01-28,82.7,84.41,82.7,84.25,995776,ULTA
2014-01-29,83.46,84.63,81.895,82.55,1143400,ULTA
2014-01-30,83.04,86.17,82.79,85.97,923504,ULTA
2014-01-31,83.87,86.03,83.5,85.71,1188139,ULTA
2014-02-03,85.75,86.03,83.09,83.93,1443446,ULTA
2014-02-04,84.07,85.11,83.3303,83.5,1108585,ULTA
2014-02-05,83.58,85.88,82.52,85.82,1321863,ULTA
2014-02-06,85.96,88.8197,85.96,88.34,1213827,ULTA
2014-02-07,87.31,89.62,86.01,88.31,977441,ULTA
2014-02-10,88.26,88.76,87.09,87.72,558060,ULTA
2014-02-11,87.88,87.88,86.285,86.45,1305999,ULTA
2014-02-12,86.29,87.22,85.2,86.42,749236,ULTA
2014-02-13,86.07,87.0494,85.6,86.04,748766,ULTA
2014-02-14,85.82,86.47,85.01,85.71,714822,ULTA
2014-02-18,85.87,88.43,85.76,87.75,645159,ULTA
2014-02-19,87.76,88.9,87.19,87.56,535164,ULTA
2014-02-20,87.6,88.32,85.72,86.15,791657,ULTA
2014-02-21,86.15,87.18,83.98,85.98,1323488,ULTA
2014-02-24,86.0,88.21,85.99,87.44,897091,ULTA
2014-02-25,87.46,89.5,87.46,88.79,776161,ULTA
2014-02-26,89.0,92.67,88.351,90.22,1149502,ULTA
2014-02-27,90.17,92.04,89.42,91.62,722561,ULTA
2014-02-28,91.83,92.468,89.0601,89.69,801998,ULTA
2014-03-03,88.94,89.86,88.176,88.42,568009,ULTA
2014-03-04,89.36,89.94,88.39,89.06,631140,ULTA
2014-03-05,89.62,89.82,87.98,88.5,949065,ULTA
2014-03-06,88.74,88.94,86.9,87.3,719675,ULTA
2014-03-07,87.95,88.17,86.52,87.3,954622,ULTA
2014-03-10,87.14,89.85,86.975,89.64,1388544,ULTA
2014-03-11,89.55,92.91,89.2,91.5,2254303,ULTA
2014-03-12,90.69,91.7499,89.09,91.39,1505506,ULTA
2014-03-13,91.38,91.6,89.05,89.51,2317618,ULTA
2014-03-14,95.89,97.86,95.0,95.26,7452700,ULTA
2014-03-17,95.5,96.8,94.42,96.41,1387313,ULTA
2014-03-18,96.37,99.47,96.024,98.64,1452587,ULTA
2014-03-19,98.85,101.35,97.85,101.27,1556142,ULTA
2014-03-20,103.03,106.83,102.775,104.3,3055844,ULTA
2014-03-21,104.1,105.0,100.84,100.84,1976755,ULTA
2014-03-24,100.45,101.88,99.931,101.26,1110842,ULTA
2014-03-25,101.41,102.219,99.8,100.34,1039624,ULTA
2014-03-26,102.65,105.0,101.42,101.43,1326496,ULTA
2014-03-27,101.01,101.27,98.13,98.75,1505625,ULTA
2014-03-28,98.87,100.17,96.57,97.89,1568056,ULTA
2014-03-31,98.47,98.9,96.795,97.44,1066547,ULTA
2014-04-01,97.59,99.33,97.146,98.98,1351495,ULTA
2014-04-02,98.9,100.25,98.8,100.11,916735,ULTA
2014-04-03,100.26,100.78,99.32,99.77,694344,ULTA
2014-04-04,100.09,100.635,95.23,96.09,1317594,ULTA
2014-04-07,95.71,95.93,91.76,93.75,1486527,ULTA
2014-04-08,93.43,96.04,93.31,95.87,1329213,ULTA
2014-04-09,96.3,98.43,95.285,97.08,833374,ULTA
2014-04-10,96.84,97.27,93.96,94.85,1342172,ULTA
2014-04-11,93.78,94.0,88.46,91.05,2960106,ULTA
2014-04-14,91.85,93.37,89.62,90.13,1022469,ULTA
2014-04-15,91.08,92.24,87.671,90.42,1329571,ULTA
2014-04-16,91.17,92.5979,89.74,90.22,969375,ULTA
2014-04-17,90.26,90.77,86.57,87.79,1795391,ULTA
2014-04-21,88.2,90.77,88.2,89.59,1003505,ULTA
2014-04-22,90.18,91.239,88.86,89.41,873294,ULTA
2014-04-23,89.41,89.74,88.09,88.22,672218,ULTA
2014-04-24,88.85,90.09,86.825,89.63,606756,ULTA
2014-04-25,89.2,90.01,87.5,88.11,498730,ULTA
2014-04-28,88.42,89.8125,84.59,86.58,1377036,ULTA
2014-04-29,86.57,87.16,84.86,86.0,763463,ULTA
2014-04-30,85.95,87.9,85.36,87.71,884600,ULTA
2014-05-01,87.6,88.13,85.93,85.97,1093553,ULTA
2014-05-02,86.35,88.39,86.17,88.12,2345602,ULTA
2014-05-05,88.47,89.21,86.61,88.54,983471,ULTA
2014-05-06,88.23,89.16,87.34,87.55,1117013,ULTA
2014-05-07,87.15,88.75,84.4301,84.79,1402673,ULTA
2014-05-08,84.64,87.35,84.64,85.86,1021230,ULTA
2014-05-09,85.58,87.97,84.76,87.87,747361,ULTA
2014-05-12,88.05,90.3199,87.73,89.88,747883,ULTA
2014-05-13,89.24,89.625,87.57,88.51,659220,ULTA
2014-05-14,88.41,88.85,86.83,87.15,569701,ULTA
2014-05-15,87.11,87.18,84.76,86.76,1189644,ULTA
