date,open,high,low,close,volume,Name
2014-01-24,47.9258,48.3162,47.7618,47.9414,2541051,VTR
2014-01-27,48.0663,48.5427,47.918,47.918,1911131,VTR
2014-01-28,48.0039,48.5427,47.9961,48.2772,1448694,VTR
2014-01-29,47.8711,48.3943,47.6837,48.1054,1435385,VTR
2014-01-30,48.4412,48.8824,48.2303,48.285,1469087,VTR
2014-01-31,47.8945,48.9644,47.8243,48.7223,2408847,VTR
2014-02-03,48.777,48.7895,47.8945,48.0663,1664311,VTR
2014-02-04,48.1835,48.4959,48.0117,48.41,1533747,VTR
2014-02-05,48.3006,48.5372,47.6368,48.0585,1589292,VTR
2014-02-06,48.0663,48.4802,47.918,48.2616,1846953,VTR
2014-02-07,48.3943,48.5583,47.9414,48.3709,1433514,VTR
2014-02-10,48.4646,49.2299,48.3006,49.1596,1509929,VTR
2014-02-11,49.0503,49.1284,48.3553,48.9097,1579449,VTR
2014-02-12,48.8473,48.9019,48.1288,48.246,1934873,VTR
2014-02-13,48.0351,49.0737,48.0273,48.8863,1635347,VTR
2014-02-14,48.9644,49.2768,47.4728,48.0429,2087901,VTR
2014-02-18,48.0351,48.1132,47.1839,47.9648,1967244,VTR
2014-02-19,47.8789,49.0386,47.8164,48.3475,1751682,VTR
2014-02-20,48.3787,48.8004,47.5744,47.754,1302170,VTR
2014-02-21,47.7383,48.0195,47.2698,47.3401,2154227,VTR
2014-02-24,47.4416,48.7614,47.4416,48.1913,2049083,VTR
2014-02-25,48.2772,48.5193,47.9023,48.0195,1204334,VTR
2014-02-26,48.246,48.5739,47.6368,48.3709,1703467,VTR
2014-02-27,48.41,48.8668,48.3631,48.7614,1467808,VTR
2014-02-28,48.7614,48.9722,48.4178,48.7536,2178445,VTR
2014-03-03,48.4256,49.1128,48.4256,49.0347,1023164,VTR
2014-03-04,49.4954,49.7766,49.2612,49.7219,1302124,VTR
2014-03-05,49.7496,49.8286,49.3072,49.7891,1495143,VTR
2014-03-06,49.7575,49.8799,48.8649,48.9517,1451635,VTR
2014-03-07,48.857,48.8728,47.4667,47.7906,2658300,VTR
2014-03-10,47.7985,47.909,47.4114,47.7985,1521160,VTR
2014-03-11,47.838,48.5252,47.759,48.3119,1256256,VTR
2014-03-12,48.2882,48.8807,48.1855,48.3514,1072904,VTR
2014-03-13,48.4699,48.4699,47.7511,47.7748,1298575,VTR
2014-03-14,47.7748,48.4383,47.7432,47.9959,1088948,VTR
2014-03-17,48.1776,48.3356,47.6642,47.8854,754288,VTR
2014-03-18,47.7748,48.1302,47.601,48.0986,1171290,VTR
2014-03-19,48.2171,48.2961,46.3292,46.5425,2093015,VTR
2014-03-20,46.4319,46.7716,46.1317,46.7005,1372464,VTR
2014-03-21,47.0243,47.1428,46.4398,47.1033,2264368,VTR
2014-03-24,47.2613,47.3086,46.6136,46.9216,1106988,VTR
2014-03-25,47.2455,47.6089,46.8663,47.443,1063030,VTR
2014-03-26,47.8932,47.9801,46.8663,46.9058,1375291,VTR
2014-03-27,46.8505,47.5062,46.6057,47.3482,943672,VTR
2014-03-28,47.5299,47.8932,47.4272,47.68,1007078,VTR
2014-03-31,48.0038,48.0433,47.4035,47.8459,1535703,VTR
2014-04-01,47.8854,48.5173,47.6958,48.4936,1245486,VTR
2014-04-02,48.3435,48.8649,48.1855,48.4146,1327602,VTR
2014-04-03,48.462,48.62,48.0433,48.5015,703318,VTR
2014-04-04,48.6911,49.3625,48.4936,48.9675,1499892,VTR
2014-04-07,48.8728,50.1208,48.8728,49.7654,2164940,VTR
2014-04-08,49.8918,50.6185,49.7496,50.5632,1633800,VTR
2014-04-09,50.6027,50.6659,50.2077,50.2393,1688673,VTR
2014-04-10,50.2393,50.658,49.7733,49.8681,1714845,VTR
2014-04-11,49.8049,50.4052,49.4336,49.8839,2517757,VTR
2014-04-14,50.1208,50.7054,49.8681,50.6975,2325659,VTR
2014-04-15,50.6817,52.3721,50.5474,52.1352,2602651,VTR
2014-04-16,52.2299,52.2615,51.2939,51.6849,1960257,VTR
2014-04-17,51.5348,51.7007,51.1122,51.4479,1854258,VTR
2014-04-21,51.4558,51.7153,51.1082,51.3452,937056,VTR
2014-04-22,51.2662,51.3492,50.4447,50.9503,1265852,VTR
2014-04-23,51.0767,51.1319,50.7291,51.0214,1693514,VTR
2014-04-24,51.0056,51.2228,50.6185,50.8002,1700488,VTR
2014-04-25,50.974,51.7402,50.5316,50.8318,1431623,VTR
2014-04-28,51.0845,51.9298,50.8397,51.9219,1771280,VTR
2014-04-29,51.993,52.1431,51.7165,52.072,2058033,VTR
2014-04-30,51.914,52.2299,51.6533,52.1983,1555790,VTR
2014-05-01,52.1273,52.6486,51.9219,52.6407,1448648,VTR
2014-05-02,52.4195,52.5933,52.1273,52.5617,1430436,VTR
2014-05-05,52.3405,53.0041,52.2299,52.9093,1154674,VTR
2014-05-06,52.6723,53.0673,52.4827,52.9488,2039559,VTR
2014-05-07,53.0278,53.6755,52.933,53.6202,1338681,VTR
2014-05-08,53.7071,54.1969,53.5017,54.031,2141601,VTR
2014-05-09,54.0705,54.576,53.3516,53.5254,2289934,VTR
2014-05-12,53.6044,53.7071,52.6407,52.8698,2692481,VTR
2014-05-13,52.933,53.4069,52.3208,52.6249,1251510,VTR
2014-05-14,52.7118,53.2331,52.4195,52.9962,1356009,VTR
2014-05-15,53.0199,53.2726,52.7434,53.2647,1567692,VTR
2014-05-16,52.9725,53.9283,52.7513,53.8888,1418631,VTR
2014-05-19,53.8888,53.8888,53.2015,53.2726,1681039,VTR
2014-05-20,53.3042,53.7624,53.1226,53.1384,1082864,VTR
2014-05-21,53.2331,53.4069,52.3563,52.3879,1767942,VTR
2014-05-22,52.2536,52.6486,52.1983,52.2378,1642749,VTR
2014-05-23,52.4906,53.0041,52.3879,52.9488,1066949,VTR
2014-05-27,53.0673,53.2647,52.8698,53.1147,1334881,VTR
2014-05-28,52.8145,52.9409,51.9772,52.3168,2227566,VTR
2014-05-29,52.5064,52.7276,52.2931,52.4827,1300118,VTR
