date,open,high,low,close,volume,Name
2014-01-24,75.014,76.1469,74.0641,74.0729,2574360,WDC
2014-01-27,74.0729,74.8746,73.6371,73.7156,2431603,WDC
2014-01-28,72.9138,73.7156,71.9204,72.6524,4462497,WDC
2014-01-29,72.2864,74.0554,72.0772,73.3757,2523053,WDC
2014-01-30,73.9596,75.9465,73.7068,75.7635,2931466,WDC
2014-01-31,74.4824,75.7547,74.3866,75.0924,2045639,WDC
2014-02-03,74.6829,75.502,72.5217,72.7657,2531978,WDC
2014-02-04,73.2188,73.3408,71.7548,72.7657,1867270,WDC
2014-02-05,72.3735,73.123,70.4476,72.1034,2264936,WDC
2014-02-06,72.6175,73.1317,72.2167,72.635,1211378,WDC
2014-02-07,73.1753,74.4301,72.1557,73.794,1927896,WDC
2014-02-10,73.6197,74.4127,72.8441,73.8027,1421188,WDC
2014-02-11,73.672,74.3343,73.1578,73.9596,1278401,WDC
2014-02-12,74.0903,75.6502,73.9944,75.0053,1602688,WDC
2014-02-13,74.3256,75.5979,74.1077,75.5282,1453186,WDC
2014-02-14,75.8855,75.99,74.7961,75.563,1211951,WDC
2014-02-18,75.9116,76.6785,75.1717,75.2406,1413733,WDC
2014-02-19,74.8833,75.6327,74.3169,74.465,1491061,WDC
2014-02-20,74.5521,75.2493,73.5587,75.1534,1640963,WDC
2014-02-21,75.441,76.8223,75.38,76.6959,2042527,WDC
2014-02-24,76.783,77.8288,76.4083,77.2101,1780448,WDC
2014-02-25,77.1229,77.5586,76.2166,76.5042,1314065,WDC
2014-02-26,76.8092,78.2471,76.6872,77.8026,2267217,WDC
2014-02-27,77.4715,77.7329,76.2776,77.0532,1710466,WDC
2014-02-28,76.5826,76.8005,75.075,75.807,2703954,WDC
2014-03-03,75.1709,77.0619,74.4824,76.6,1687475,WDC
2014-03-04,77.2449,78.0989,76.9573,77.3495,1620641,WDC
2014-03-05,77.2449,77.5238,76.7395,76.9748,1127210,WDC
2014-03-06,77.0532,77.4192,75.0924,75.5717,1902592,WDC
2014-03-07,76.0946,76.0946,73.1143,73.4193,2080542,WDC
2014-03-10,73.6197,75.502,73.2798,74.1687,2213427,WDC
2014-03-11,74.3081,74.7003,72.2428,72.513,1922672,WDC
2014-03-12,71.9988,73.5151,71.8245,73.3408,1310881,WDC
2014-03-13,73.5936,74.0729,72.696,73.3844,2034675,WDC
2014-03-14,73.0358,74.1774,73.0097,74.0859,1685641,WDC
2014-03-17,74.3779,74.9356,73.4628,74.1949,2871102,WDC
2014-03-18,74.1513,75.3364,73.6458,75.2232,1340348,WDC
2014-03-19,75.1534,75.2057,74.038,74.831,1766372,WDC
2014-03-20,74.648,76.8179,74.2384,76.6785,1978161,WDC
2014-03-21,77.5063,77.7329,76.3996,77.2275,3212406,WDC
2014-03-24,76.8005,77.4714,75.5543,76.6698,2320968,WDC
2014-03-25,76.6698,78.7177,76.4606,78.2994,2059929,WDC
2014-03-26,78.9202,79.6546,78.0757,78.107,2191466,WDC
2014-03-27,77.836,78.9814,77.6261,78.4305,2045825,WDC
2014-03-28,78.5617,79.506,77.7922,78.177,1557703,WDC
