date,open,high,low,close,volume,Name
2014-01-24,65.2892,65.63,64.8524,65.0184,9455979,WMT
2014-01-27,64.765,64.9747,64.5029,64.7825,9105139,WMT
2014-01-28,64.8786,65.8746,64.7388,65.2368,6035231,WMT
2014-01-29,65.7785,65.8484,64.7126,64.7388,8440854,WMT
2014-01-30,65.1232,65.6037,64.966,65.3067,6742046,WMT
2014-01-31,64.5816,65.6911,64.3369,65.2455,10665285,WMT
2014-02-03,64.8174,65.0883,63.3759,63.4807,10435809,WMT
2014-02-04,63.4895,63.8651,63.1662,63.5419,7765562,WMT
2014-02-05,63.14,63.9176,63.14,63.6642,4778044,WMT
2014-02-06,63.7516,63.9612,63.3409,63.6205,7353131,WMT
2014-02-07,63.8215,64.4767,63.3409,64.433,7320252,WMT
2014-02-10,64.2932,64.4418,63.7428,64.4418,6236787,WMT
2014-02-11,64.5641,65.3941,64.3631,65.3504,6712699,WMT
2014-02-12,64.8437,65.6824,64.8437,65.4902,5372947,WMT
2014-02-13,65.2455,65.9532,65.1407,65.8396,5275177,WMT
2014-02-14,65.8746,66.3857,65.6125,66.2153,4920591,WMT
2014-02-18,65.9532,66.093,65.4069,65.8134,5994299,WMT
2014-02-19,65.5339,65.8047,65.0097,65.3941,8145148,WMT
2014-02-20,63.8215,64.6514,63.6118,64.2321,13103284,WMT
2014-02-21,63.9438,64.1272,63.6205,63.8826,8971032,WMT
2014-02-24,63.9875,64.4898,63.9001,64.0836,7326672,WMT
2014-02-25,63.935,64.4243,63.8564,64.0836,9500619,WMT
2014-02-26,64.599,65.6125,64.468,65.3329,9027834,WMT
2014-02-27,65.3329,65.3329,64.7302,65.1407,5456591,WMT
2014-02-28,65.0708,65.6911,64.8262,65.263,7445309,WMT
2014-03-03,65.0795,65.2368,64.4986,64.7563,5347575,WMT
2014-03-04,65.3242,65.9532,65.2281,65.6387,7549037,WMT
2014-03-05,65.8047,65.8134,65.1582,65.3504,5526031,WMT
2014-03-06,65.4028,65.6212,65.097,65.4203,5107196,WMT
2014-03-07,65.9127,65.9127,65.3895,65.5785,5054617,WMT
2014-03-10,65.5258,65.5961,65.1125,65.4466,4844541,WMT
2014-03-11,65.7016,65.9215,65.2444,65.8775,9036284,WMT
2014-03-12,65.8116,66.6073,65.7896,66.4139,8637988,WMT
2014-03-13,66.5721,66.9854,65.8687,65.8863,5824463,WMT
2014-03-14,65.6577,66.0094,65.3059,65.3147,6619016,WMT
2014-03-17,65.3323,65.8159,65.0773,65.6665,5783947,WMT
2014-03-18,65.6489,65.939,65.4642,65.7456,3943802,WMT
2014-03-19,65.5609,66.0446,65.0861,65.4027,5761073,WMT
2014-03-20,65.0861,66.5458,64.9454,66.282,8637512,WMT
2014-03-21,66.7304,67.724,66.3435,66.9151,17180931,WMT
2014-03-24,67.0118,67.5306,66.9239,67.4954,7279659,WMT
2014-03-25,67.6009,67.8296,66.9678,67.5921,7389784,WMT
2014-03-26,67.7768,68.1681,67.0294,67.0294,7736520,WMT
2014-03-27,67.1613,67.5481,66.8623,66.9502,5596634,WMT
2014-03-28,67.0558,67.3503,66.625,66.8359,5871101,WMT
2014-03-31,67.1349,67.513,66.8447,67.2052,4695643,WMT
2014-04-01,67.4954,67.9263,67.302,67.5042,5770037,WMT
2014-04-02,67.3371,67.8735,67.1261,67.8647,6078086,WMT
2014-04-03,67.8823,68.1901,67.7065,68.1109,6045985,WMT
2014-04-04,68.2164,68.4978,67.9263,67.979,6769289,WMT
2014-04-07,67.9087,68.3352,67.7899,67.979,7680807,WMT
2014-04-08,67.7856,68.8583,67.5306,68.744,7498660,WMT
2014-04-09,68.7616,68.7792,67.9527,68.5594,6877819,WMT
2014-04-10,68.5418,68.7089,67.3987,67.6097,7599640,WMT
2014-04-11,67.513,67.9087,67.0821,67.2668,7978971,WMT
2014-04-14,67.6537,68.1901,67.5218,68.0406,5375940,WMT
2014-04-15,67.7328,67.979,67.214,67.6009,6929329,WMT
2014-04-16,67.979,68.1153,67.7328,67.8999,5036770,WMT
2014-04-17,67.7768,68.3659,67.7768,68.2868,6964745,WMT
2014-04-21,68.067,68.3483,67.8647,68.234,4595096,WMT
2014-04-22,68.1637,68.4319,68.0494,68.1989,6465465,WMT
2014-04-23,68.4275,68.832,68.2077,68.6209,5806189,WMT
2014-04-24,68.7352,68.999,68.322,68.8583,4354918,WMT
2014-04-25,68.8583,69.2716,68.6033,69.1309,5396525,WMT
2014-04-28,69.342,70.3312,69.3156,70.1333,9598676,WMT
2014-04-29,70.2037,70.2301,69.9663,70.0542,4695718,WMT
2014-04-30,69.9838,70.2828,69.9135,70.0894,6111791,WMT
2014-05-01,70.107,70.107,69.6058,70.0806,5098328,WMT
2014-05-02,69.9926,70.1333,69.4739,69.5706,5620034,WMT
2014-05-05,69.342,69.4211,69.0298,69.1309,4590956,WMT
2014-05-06,68.8759,68.9287,68.555,68.5945,5638910,WMT
2014-05-07,68.8777,69.098,68.5945,68.975,6086214,WMT
2014-05-08,69.0104,69.7447,69.0104,69.6209,4820639,WMT
2014-05-09,69.4704,70.1429,69.4704,70.0721,4896368,WMT
2014-05-12,69.8509,70.0986,69.5855,70.0278,5999823,WMT
2014-05-13,70.0455,70.2225,69.8863,70.019,4363735,WMT
2014-05-14,69.9394,69.9394,69.0723,69.6651,5608286,WMT
2014-05-15,67.4886,68.5149,67.4621,67.9752,13035789,WMT
2014-05-16,68.1256,68.4618,67.816,68.1345,7244131,WMT
2014-05-19,68.223,68.2406,67.6833,67.7806,6131274,WMT
2014-05-20,67.5594,67.5682,66.8162,66.9666,7441355,WMT
2014-05-21,67.1878,67.2055,66.595,66.9401,5704092,WMT
2014-05-22,67.0551,67.171,66.5685,66.7012,5243663,WMT
2014-05-23,66.8516,67.0197,66.7366,66.8958,3703626,WMT
2014-05-27,66.9843,67.0728,66.6127,66.8781,5379301,WMT
2014-05-28,66.6923,67.1878,66.6569,66.825,5036879,WMT
2014-05-29,66.9489,67.409,66.8604,67.2232,4003511,WMT
2014-05-30,67.294,67.9575,67.2497,67.9221,5974016,WMT
2014-06-02,67.754,68.223,67.6567,67.9133,4395340,WMT
2014-06-03,67.8956,68.0991,67.5594,67.8691,7213733,WMT
2014-06-04,67.7717,68.3911,67.7098,68.2406,6199894,WMT
2014-06-05,68.1699,68.5149,68.0106,68.4087,4695821,WMT
2014-06-06,68.5326,68.6476,68.1876,68.3114,4195073,WMT
2014-06-09,68.1876,68.798,67.8602,68.1345,5552326,WMT
2014-06-10,67.9575,68.0725,67.6963,67.7894,3365665,WMT
2014-06-11,67.7275,67.8956,67.2851,67.3824,4463301,WMT
2014-06-12,67.2851,67.409,66.8693,67.002,5336596,WMT
2014-06-13,66.9489,67.0285,66.4623,66.6039,4981452,WMT
2014-06-16,66.4535,66.7808,66.3738,66.6569,3846878,WMT
2014-06-17,66.6127,66.7277,66.2809,66.3473,6544215,WMT
2014-06-18,66.3915,67.2055,66.2854,66.9755,6740696,WMT
2014-06-19,67.1347,67.4886,67.0639,67.1259,5255313,WMT
2014-06-20,67.3824,67.3913,66.4623,66.9578,11335802,WMT
2014-06-23,66.8516,67.1878,66.6216,67.0551,4276034,WMT
2014-06-24,67.2674,67.4267,66.9621,67.2143,5659196,WMT
2014-06-25,67.0285,67.0993,66.6039,66.9047,4318156,WMT
2014-06-26,66.8162,66.8958,66.0907,66.2765,6922337,WMT
2014-06-27,66.1792,66.6923,66.0642,66.6569,13960847,WMT
2014-06-30,66.7056,66.9666,66.303,66.4181,6666648,WMT
2014-07-01,66.595,66.7277,66.1349,66.6039,6604504,WMT
2014-07-02,66.5862,67.1524,66.5773,66.9047,4366772,WMT
2014-07-03,66.8958,67.2851,66.8162,67.0197,2873959,WMT
2014-07-07,66.9666,67.4267,66.8427,67.3028,5027994,WMT
2014-07-08,67.3205,68.1079,67.2674,67.816,7960476,WMT
2014-07-09,67.9221,68.4176,67.7894,68.3114,6240126,WMT
2014-07-10,68.046,68.6291,68.046,68.1787,5372478,WMT
2014-07-11,68.0106,68.0991,67.7363,67.9664,4547543,WMT
2014-07-14,68.2406,68.3468,67.6656,67.7275,4822869,WMT
2014-07-15,67.7363,68.0637,67.7363,67.9841,4686766,WMT
2014-07-16,68.0372,68.1699,67.8602,68.0018,3743501,WMT
2014-07-17,67.754,68.1699,67.6302,67.7806,4630252,WMT
2014-07-18,67.7894,68.2141,67.6921,68.2053,4913346,WMT
2014-07-21,67.9133,68.046,67.6656,67.9221,3457586,WMT
2014-07-22,67.9841,68.0283,67.5948,67.8071,4383167,WMT
2014-07-23,67.7983,68.1787,67.7629,68.1168,3994349,WMT
2014-07-24,67.8425,67.9398,67.409,67.5505,7228303,WMT
2014-07-25,67.409,67.5594,67.0639,67.2143,3948442,WMT
2014-07-28,66.7366,67.1789,66.6746,66.9843,5509938,WMT
2014-07-29,66.5419,67.2497,66.4888,66.7454,6293487,WMT
2014-07-30,67.1347,67.1701,66.0642,66.1615,9985703,WMT
2014-07-31,65.4625,65.6926,65.0644,65.0998,9632692,WMT
2014-08-01,64.9228,65.1396,64.6397,65.0644,5402081,WMT
2014-08-04,64.9228,65.1396,64.6397,65.0644,5402181,WMT
2014-08-05,64.8609,65.0467,64.3831,64.8874,10580561,WMT
2014-08-06,65.1813,66.161,65.1724,66.0808,7934785,WMT
2014-08-07,66.2055,66.6241,65.689,65.8582,7053149,WMT
2014-08-08,65.9562,66.5528,65.7691,66.4994,4996347,WMT
2014-08-11,66.161,66.4371,65.9205,66.2233,4721351,WMT
2014-08-12,66.1788,66.2946,65.9116,66.0986,3928584,WMT
2014-08-13,66.1432,66.2679,65.4663,65.9294,6579857,WMT
2014-08-14,65.8048,66.2857,65.5554,66.25,6136444,WMT
2014-08-15,66.4816,66.4816,65.4441,65.8137,6942723,WMT
2014-08-18,66.0363,66.5083,65.9472,66.3391,4015717,WMT
2014-08-19,66.6241,66.7399,66.0274,66.6864,5047957,WMT
2014-08-20,66.6419,66.8378,66.3569,66.7577,4898266,WMT
2014-08-21,66.8467,67.6037,66.7933,67.2831,5260626,WMT
2014-08-22,67.4879,67.862,67.3633,67.4434,4137761,WMT
2014-08-25,67.6215,67.7017,67.2442,67.4078,3393630,WMT
2014-08-26,67.5325,67.8175,67.1851,67.2564,4222880,WMT
2014-08-27,67.2475,67.5592,67.1851,67.5503,3200426,WMT
2014-08-28,67.2119,67.6304,67.2119,67.5948,2928089,WMT
2014-08-29,67.4612,67.577,67.0516,67.2386,5080513,WMT
2014-09-02,67.1673,67.6304,67.1584,67.4612,4532422,WMT
2014-09-03,67.6393,67.9778,67.577,67.6928,4709373,WMT
2014-09-04,67.8264,68.2182,67.7818,68.1826,5282252,WMT
2014-09-05,68.147,69.2246,68.1113,69.0286,7841819,WMT
2014-09-08,68.6902,68.8594,68.0668,68.1559,5946869,WMT
2014-09-09,68.1826,68.5744,67.8353,68.3429,5631979,WMT
2014-09-10,68.3874,68.6457,68.0134,68.1381,6697057,WMT
2014-09-11,67.9956,68.0757,67.764,67.7729,4985299,WMT
2014-09-12,67.6572,67.7284,67.3811,67.479,5693775,WMT
2014-09-15,67.4879,67.5859,67.3365,67.5147,3748478,WMT
2014-09-16,67.3633,68.1915,67.3276,67.9689,4109537,WMT
2014-09-17,68.0045,68.1024,67.6928,67.8976,4239265,WMT
2014-09-18,67.96,68.2004,67.6037,67.8798,4751711,WMT
2014-09-19,68.0846,68.6368,68.0223,68.432,13323532,WMT
2014-09-22,68.3874,68.4498,67.9065,67.96,4450704,WMT
2014-09-23,67.6839,67.8843,67.3009,67.3276,6717115,WMT
2014-09-24,67.4434,68.8505,67.4167,68.6457,8434589,WMT
2014-09-25,68.5121,68.619,67.7907,67.7907,4963485,WMT
2014-09-26,67.9065,68.1915,67.5592,68.1203,3752888,WMT
2014-09-29,67.7373,67.9065,67.3722,67.7551,4959285,WMT
2014-09-30,67.7195,68.3251,67.479,68.1024,5640744,WMT
2014-10-01,68.1381,68.4498,67.6037,67.7907,6524863,WMT
2014-10-02,67.8709,68.4943,67.6482,67.8887,4929134,WMT
2014-10-03,68.1915,69.0019,68.1559,68.8594,5819678,WMT
2014-10-06,68.619,69.3938,68.5655,68.8861,5429677,WMT
2014-10-07,68.6012,69.1934,68.3251,68.8416,7059857,WMT
2014-10-08,68.9396,69.897,68.4052,69.6788,8107097,WMT
2014-10-09,69.563,70.2042,69.1622,69.3403,7072744,WMT
2014-10-10,69.4027,70.6851,69.4027,69.7233,10078027,WMT
2014-10-13,69.4917,69.986,68.9752,69.0732,8201401,WMT
2014-10-14,69.3136,70.0261,69.1711,69.4472,7901051,WMT
2014-10-15,69.091,69.1889,66.2233,66.9714,21057683,WMT
2014-10-16,65.217,65.9645,64.6648,65.7424,14346643,WMT
2014-10-17,66.063,66.348,65.0389,65.9918,11472069,WMT
2014-10-20,66.0274,66.9892,65.8315,66.918,7040685,WMT
2014-10-21,66.9536,67.862,66.8022,67.7017,8299743,WMT
2014-10-22,68.1024,68.2717,67.6928,67.7106,5927620,WMT
2014-10-23,68.0134,68.2627,67.4879,67.9065,6367092,WMT
2014-10-24,67.7996,68.1292,67.2386,68.0223,4483654,WMT
2014-10-27,67.9778,68.5566,67.96,68.2093,4107391,WMT
2014-10-28,68.2449,68.3963,67.6839,67.9956,4979984,WMT
2014-10-29,68.1737,68.2538,67.6572,68.0312,5763263,WMT
2014-10-30,67.8353,68.2182,67.6661,68.0846,4872414,WMT
2014-10-31,68.4765,68.9307,67.6928,67.9243,7570734,WMT
2014-11-03,67.9956,68.0223,67.3187,67.9332,6887875,WMT
2014-11-04,68.1203,68.904,67.9332,68.806,6904853,WMT
2014-11-05,69.3493,69.6699,68.8416,69.1979,5673772,WMT
2014-11-06,69.5986,69.6253,68.7258,69.2958,4621864,WMT
2014-11-07,69.3225,70.4268,69.1177,70.1508,9498782,WMT
2014-11-10,69.9994,71.362,69.8391,70.7475,12640479,WMT
2014-11-11,70.7118,70.7296,70.222,70.3645,5602406,WMT
2014-11-12,70.2042,70.7475,70.0439,70.5337,6791218,WMT
2014-11-13,72.1011,73.9713,72.0121,73.8645,22812356,WMT
2014-11-14,73.5439,74.0515,73.1164,73.8823,10636644,WMT
2014-11-17,73.5439,74.5591,73.4993,74.4255,7993427,WMT
2014-11-18,74.3632,74.7372,74.2207,74.6215,6096432,WMT
2014-11-19,74.7729,76.269,74.7372,75.6902,12189846,WMT
2014-11-20,75.5299,75.9573,74.8441,75.325,7812733,WMT
2014-11-21,76.0019,76.0909,75.325,75.3874,6649630,WMT
2014-11-24,75.5655,76.2423,75.4942,76.0553,7995454,WMT
2014-11-25,76.1444,76.1533,75.1558,75.6545,6675451,WMT
2014-11-26,75.61,75.7979,75.236,75.6813,3943821,WMT
2014-11-28,76.7499,78.4509,76.5006,77.9611,7820627,WMT
2014-12-01,77.2309,77.5426,76.3669,76.7856,9140937,WMT
2014-12-02,76.8301,77.213,76.5273,76.9459,6766310,WMT
2014-12-03,76.9728,77.0176,75.8354,76.0683,6374338,WMT
2014-12-04,75.3429,75.9608,74.913,75.9071,6922353,WMT
2014-12-05,75.9518,75.9608,74.7876,75.3339,6570121,WMT
2014-12-08,75.3608,75.8265,75.0921,75.4324,6265990,WMT
2014-12-09,74.913,75.4145,74.0174,74.8324,6633610,WMT
2014-12-10,75.1638,75.5041,74.2413,74.313,6973600,WMT
2014-12-11,74.51,75.6697,74.4742,75.0742,8032841,WMT
2014-12-12,74.7966,76.122,74.7966,75.0563,7284128,WMT
2014-12-15,75.4593,75.8533,74.3757,75.1727,6317736,WMT
2014-12-16,74.8861,75.9071,74.2772,74.2951,7437440,WMT
2014-12-17,74.5816,75.4593,74.2861,75.4324,6641024,WMT
2014-12-18,75.9429,76.9728,75.4772,76.9638,8645929,WMT
2014-12-19,77.2504,77.322,76.2653,76.2653,12068826,WMT
2014-12-22,76.4086,77.3758,76.3817,77.3579,4575752,WMT
2014-12-23,77.6355,77.9847,77.34,77.6086,5552646,WMT
2014-12-24,77.8862,77.9713,77.3668,77.4026,2491789,WMT
2014-12-26,77.1788,78.0385,77.0265,77.8325,3249266,WMT
2014-12-29,77.4295,77.9758,77.3758,77.5907,3605617,WMT
2014-12-30,77.4832,78.0295,77.4474,77.725,3265377,WMT
2014-12-31,77.9847,78.3071,76.8922,76.9101,4151386,WMT
2015-01-02,77.2594,77.6624,76.6101,76.928,4501838,WMT
2015-01-05,76.7668,77.3041,76.5787,76.7041,6978986,WMT
2015-01-06,76.9996,77.6892,76.8295,77.2952,8205145,WMT
2015-01-07,77.7161,79.4176,77.6176,79.346,8498428,WMT
2015-01-08,79.8923,81.1953,79.7669,81.0207,12713559,WMT
2015-01-09,80.8863,80.949,79.9281,80.0177,8522505,WMT
2015-01-12,80.0266,80.8774,79.9012,80.6177,7372534,WMT
2015-01-13,81.3162,81.4685,79.6415,79.9818,8215406,WMT
2015-01-14,78.4952,79.2743,77.4653,77.5638,11954333,WMT
2015-01-15,77.9131,78.6116,77.6444,78.2534,9412733,WMT
2015-01-16,78.0922,78.3251,77.2235,77.7071,8408926,WMT
2015-01-20,77.7519,78.54,76.6163,77.6355,7853065,WMT
2015-01-21,77.1071,77.8325,76.7578,77.5907,8174202,WMT
2015-01-22,78.1191,79.1624,77.7877,79.0773,7123834,WMT
2015-01-23,79.1848,79.9371,78.7101,79.2654,7565786,WMT
2015-01-26,79.0863,79.8475,78.9161,79.3729,4666660,WMT
2015-01-27,79.0594,79.2206,78.1459,78.3877,6020450,WMT
2015-01-28,78.8266,79.0146,77.7071,77.7519,5936775,WMT
2015-01-29,77.9758,78.5579,77.2594,78.5579,6522794,WMT
2015-01-30,77.7161,78.2355,76.0324,76.1041,10280220,WMT
2015-02-02,75.9339,76.9011,75.1638,76.7578,6927168,WMT
2015-02-03,76.8653,77.4877,76.7131,77.1877,8283477,WMT
2015-02-04,77.1161,77.9444,77.0176,77.5997,8932258,WMT
2015-02-05,78.0116,78.2355,77.5191,78.1639,5090777,WMT
2015-02-06,78.1459,78.8087,77.7161,78.2086,5617641,WMT
2015-02-09,77.8862,78.0833,76.6952,76.937,5456247,WMT
2015-02-10,77.5728,78.2803,77.3937,78.1728,5732061,WMT
2015-02-11,77.5817,78.0206,76.9459,77.322,5853068,WMT
2015-02-12,77.5191,77.6265,76.328,76.919,6941569,WMT
2015-02-13,76.8743,77.1608,76.4086,76.8474,5597012,WMT
2015-02-17,76.5071,76.9907,76.0951,76.9817,5087189,WMT
2015-02-18,76.9996,77.2862,76.5877,77.2773,6032699,WMT
2015-02-19,75.6742,75.9429,74.6802,74.7966,18646754,WMT
2015-02-20,74.0891,75.5668,73.9279,75.4951,13840389,WMT
2015-02-23,75.5757,75.9966,75.4324,75.7638,6730435,WMT
2015-02-24,75.6921,75.9608,75.1548,75.7369,5197741,WMT
2015-02-25,75.7906,75.8677,74.7966,74.8414,6808428,WMT
2015-02-26,75.0921,75.1011,74.5727,75.0473,5888139,WMT
2015-02-27,74.9757,75.3697,74.6891,75.1638,5877422,WMT
2015-03-02,75.1279,75.2264,74.51,75.1906,6061495,WMT
2015-03-03,74.922,75.0652,74.4831,74.6622,6460768,WMT
2015-03-04,74.519,74.519,73.6145,73.9548,6214421,WMT
2015-03-05,74.4652,75.11,74.2951,74.8414,5997522,WMT
2015-03-06,74.1607,74.4204,73.7712,73.9637,5731008,WMT
2015-03-09,73.9637,74.6354,73.9189,74.2234,4671505,WMT
2015-03-10,73.6771,73.8831,73.498,73.498,6311098,WMT
2015-03-11,73.7143,73.8494,72.5611,72.6962,6160869,WMT
2015-03-12,72.8043,73.9846,72.7773,73.7864,5225826,WMT
2015-03-13,73.8314,74.1017,73.2368,73.7864,4762226,WMT
2015-03-16,74.2819,75.1107,74.2729,75.0387,6519099,WMT
2015-03-17,74.7594,74.7864,74.0927,74.435,4801973,WMT
2015-03-18,73.8584,74.7414,73.1152,74.354,10252336,WMT
2015-03-19,74.1738,74.2729,73.3089,73.444,7212928,WMT
2015-03-20,73.7233,75.2188,73.6152,74.9936,12365307,WMT
2015-03-23,74.9396,75.5882,74.8855,75.0567,6505721,WMT
2015-03-24,74.9486,75.4171,74.7414,74.8224,5359147,WMT
2015-03-25,74.8585,75.0026,73.2548,73.2638,6645873,WMT
2015-03-26,72.9125,74.1557,72.6602,73.7774,8267163,WMT
2015-03-27,73.7413,74.0386,73.1963,73.2909,5717385,WMT
2015-03-30,73.6062,74.5972,73.3629,74.354,5701696,WMT
2015-03-31,74.2278,74.8134,74.1017,74.1017,5587701,WMT
