date,open,high,low,close,volume,Name
2014-01-24,36.8232,36.8845,36.4379,36.4642,3041645,WM
2014-01-27,36.4379,36.6393,36.2277,36.3766,2464839,WM
2014-01-28,36.4554,36.5868,36.1051,36.289,2139846,WM
2014-01-29,36.0351,36.3065,35.7811,35.965,3043570,WM
2014-01-30,36.2277,36.7094,36.1752,36.5955,1863837,WM
2014-01-31,36.2014,36.6393,36.0438,36.5868,2745501,WM
2014-02-03,36.5342,36.6568,35.8074,35.9037,3098455,WM
2014-02-04,36.0351,36.2277,35.9738,36.1577,1764610,WM
2014-02-05,36.0175,36.4773,36.0088,36.3416,2167271,WM
2014-02-06,36.3416,36.9983,36.2452,36.8407,2090587,WM
2014-02-07,37.0509,37.6551,37.0509,37.515,2421963,WM
2014-02-10,37.515,37.5238,37.1034,37.3399,2498311,WM
2014-02-11,37.2523,37.7164,37.2173,37.5238,1645945,WM
2014-02-12,37.5325,37.7077,37.48,37.55,1208826,WM
2014-02-13,37.4099,37.9791,37.3256,37.9441,1134859,WM
2014-02-14,37.8478,38.3382,37.66,38.2418,1717300,WM
2014-02-18,37.3836,38.0492,36.254,36.5342,6161397,WM
2014-02-19,36.0526,36.4992,35.6147,36.0701,4958803,WM
2014-02-20,36.0175,36.2627,35.7636,35.8862,3454656,WM
2014-02-21,35.9738,36.1577,35.7548,35.8949,2672241,WM
2014-02-24,35.9387,36.1752,35.8161,35.9562,3222351,WM
2014-02-25,35.9037,36.0438,35.5534,35.6935,2978411,WM
2014-02-26,35.676,35.9913,35.5972,35.7724,2813718,WM
2014-02-27,35.7548,35.9825,35.4221,35.5359,2166409,WM
2014-02-28,35.5096,36.3547,35.5096,36.3416,3545914,WM
2014-03-03,35.7986,36.2671,35.7986,36.1489,2574336,WM
2014-03-04,36.4291,36.613,35.965,36.2277,3013928,WM
2014-03-05,36.254,36.3503,36.0657,36.2014,2074205,WM
2014-03-06,36.1882,36.4445,36.1528,36.4091,2087734,WM
2014-03-07,36.4886,36.7273,36.3826,36.5682,1714542,WM
2014-03-10,36.4975,36.577,36.3561,36.5417,1138788,WM
2014-03-11,36.5417,36.6477,36.2933,36.4621,1331726,WM
2014-03-12,36.2324,36.3119,35.8126,35.87,2662109,WM
2014-03-13,36.0026,36.0645,35.658,35.711,1989924,WM
2014-03-14,35.7552,36.1617,35.6933,36.0645,2216251,WM
2014-03-17,36.1617,36.3207,36.1307,36.2854,1649211,WM
2014-03-18,36.3119,36.5676,36.3119,36.5063,1355283,WM
2014-03-19,36.4533,36.6831,36.197,36.3914,1711057,WM
2014-03-20,36.3031,36.5063,36.2235,36.2942,1138535,WM
2014-03-21,36.6124,36.6831,35.9761,35.9938,3765440,WM
2014-03-24,36.1528,36.3649,35.7154,35.7993,2856310,WM
2014-03-25,35.9319,36.1352,35.8259,35.8877,2033309,WM
2014-03-26,36.0733,36.197,35.7905,35.8082,1767886,WM
2014-03-27,35.8524,36.3207,35.711,36.144,1737713,WM
2014-03-28,36.3473,36.6477,36.2324,36.3649,1630649,WM
2014-03-31,36.5593,37.2045,36.5328,37.1779,3596255,WM
2014-04-01,37.2221,37.3017,36.8952,37.0542,1965334,WM
2014-04-02,36.9659,37.1603,36.7979,36.8598,1958100,WM
