date,open,high,low,close,volume,Name
2014-01-24,26.7636,26.8091,26.1366,26.182,4188793,XL
2014-01-27,26.2184,26.2956,25.8367,26.0003,3373755,XL
2014-01-28,26.0502,26.8545,26.0457,26.8,3090180,XL
2014-01-29,26.5364,26.7,26.182,26.2275,2338894,XL
2014-01-30,26.4547,26.6728,26.3183,26.6001,1224469,XL
2014-01-31,26.2002,26.4092,26.0548,26.1184,1410244,XL
2014-02-03,26.1184,26.1275,25.3732,25.4459,2448975,XL
2014-02-04,25.5913,25.7004,25.3823,25.5004,2023583,XL
2014-02-05,25.4095,25.5822,25.2551,25.4095,2613090,XL
2014-02-06,25.5459,25.9912,25.5095,25.9548,2263301,XL
2014-02-07,26.073,26.2638,25.8276,26.2365,1775116,XL
2014-02-10,26.1548,26.3729,26.082,26.3365,1616941,XL
2014-02-11,26.3365,26.7182,26.2456,26.6455,1893955,XL
2014-02-12,26.4637,26.491,26.2184,26.3547,2451988,XL
2014-02-13,26.0366,26.282,25.973,26.2456,2938584,XL
2014-02-14,26.182,26.6273,26.1729,26.5637,1800251,XL
2014-02-18,26.6364,26.8091,26.6182,26.7273,1405835,XL
2014-02-19,26.6091,26.85,26.4047,26.4365,1233519,XL
2014-02-20,26.5001,26.6864,26.2911,26.6273,1019387,XL
2014-02-21,26.7182,26.8318,26.5001,26.7545,1750399,XL
2014-02-24,26.7455,27.1453,26.6909,27.0181,1981959,XL
2014-02-25,26.9636,27.0272,26.7455,26.8727,1741896,XL
2014-02-26,26.9454,27.1453,26.7864,27.0999,2247933,XL
2014-02-27,27.0544,27.3316,27.009,27.218,1696653,XL
2014-02-28,27.2362,27.6542,27.2362,27.627,2484399,XL
2014-03-03,27.2453,27.4543,27.2453,27.3634,1829741,XL
2014-03-04,27.6542,27.7133,27.5088,27.5997,2113792,XL
2014-03-05,27.5543,27.7224,27.4089,27.6088,2366031,XL
2014-03-06,27.6906,28.0905,27.6179,27.8905,2310449,XL
2014-03-07,28.0268,28.1359,27.7633,27.8996,1899673,XL
2014-03-10,27.4725,27.9632,27.4725,27.936,1859829,XL
2014-03-11,27.9723,27.9996,27.6179,27.6633,1838076,XL
2014-03-12,27.6359,27.7364,27.4715,27.6816,1520958,XL
2014-03-13,27.8004,27.9009,27.2979,27.3344,3215988,XL
2014-03-14,27.2796,27.6999,27.2796,27.3801,3104136,XL
2014-03-17,27.5446,27.7638,27.4715,27.6816,1382174,XL
2014-03-18,27.709,27.91,27.709,27.8278,1224623,XL
2014-03-19,27.8917,27.9283,27.5217,27.6725,1315209,XL
2014-03-20,27.5811,27.8552,27.5354,27.7912,945440,XL
2014-03-21,28.0562,28.312,27.846,27.91,3559848,XL
2014-03-24,27.9922,28.0927,27.8323,27.8369,1555910,XL
2014-03-25,27.9831,28.1293,27.8872,27.9465,1657823,XL
2014-03-26,28.0744,28.1567,27.7547,27.8186,1868647,XL
2014-03-27,28.0653,28.0653,27.5172,27.6176,1730235,XL
2014-03-28,27.8643,28.0288,27.6999,27.9739,1841419,XL
2014-03-31,28.1567,28.5769,28.1384,28.5495,3687082,XL
2014-04-01,28.6317,28.6865,28.2206,28.3028,2051806,XL
2014-04-02,28.2754,28.4947,28.2663,28.3851,1331278,XL
2014-04-03,28.4673,28.7139,28.3668,28.6957,1363105,XL
2014-04-04,28.8784,29.0611,28.5038,28.513,2070729,XL
2014-04-07,28.4581,28.5952,28.1841,28.2115,2468714,XL
2014-04-08,28.1841,28.4216,28.0562,28.3211,2706876,XL
2014-04-09,28.4399,28.513,28.2846,28.4399,2250122,XL
2014-04-10,28.4855,28.513,28.0196,28.0196,1728933,XL
2014-04-11,28.5221,28.5221,27.9009,28.2754,2640789,XL
2014-04-14,28.5586,28.5952,28.1475,28.3759,1492843,XL
2014-04-15,28.513,28.6911,28.3211,28.6226,2234344,XL
2014-04-16,28.7962,28.8144,28.3668,28.4947,2563231,XL
2014-04-17,28.4855,28.6043,28.3576,28.5312,1355448,XL
2014-04-21,28.4855,28.5312,28.3668,28.4581,661102,XL
2014-04-22,28.4627,28.6043,28.3851,28.4855,1192261,XL
2014-04-23,28.0379,28.8144,28.0379,28.7322,1264796,XL
2014-04-24,28.8418,28.8784,28.6683,28.8236,811066,XL
2014-04-25,28.787,28.8875,28.5952,28.6774,848485,XL
2014-04-28,29.2256,29.2256,28.4307,28.6591,1819347,XL
