date,open,high,low,close,volume,Name
2014-01-24,45.3802,45.5258,44.4776,44.4873,1526040,XRAY
2014-01-27,42.5027,44.7397,41.7214,44.5067,1145080,XRAY
2014-01-28,44.4,45.0987,44.0022,44.827,1141223,XRAY
2014-01-29,44.5067,45.0308,44.3709,44.6911,666604,XRAY
2014-01-30,44.9435,45.4287,44.7397,45.2249,809035,XRAY
2014-01-31,44.6717,44.8755,44.3515,44.7785,714586,XRAY
2014-02-03,44.8367,44.9726,43.5799,43.6236,1195028,XRAY
2014-02-04,43.8371,43.8565,43.2645,43.5945,1164071,XRAY
2014-02-05,43.4004,43.8226,43.1481,43.6527,592069,XRAY
2014-02-06,43.6818,44.0506,43.381,43.9827,928144,XRAY
2014-02-07,44.1088,44.3806,43.8856,44.2641,911293,XRAY
2014-02-10,44.3321,44.5456,44.0409,44.4776,1062059,XRAY
2014-02-11,44.3612,45.0696,44.0797,44.9144,818041,XRAY
2014-02-12,44.8367,45.2346,44.5164,44.6135,1014695,XRAY
2014-02-13,44.2932,45.0793,43.9536,44.6329,1119718,XRAY
2014-02-14,44.6523,45.2928,44.4582,44.8755,1679808,XRAY
2014-02-18,41.7311,44.565,41.7311,44.3418,2367294,XRAY
2014-02-19,43.8371,44.1768,43.2306,43.3713,1305248,XRAY
2014-02-20,43.6527,44.1768,43.2839,44.1283,895704,XRAY
2014-02-21,44.1088,44.4097,43.6527,43.6721,2210350,XRAY
2014-02-24,43.8371,44.1768,43.643,43.7789,1180434,XRAY
2014-02-25,43.7109,44.1671,43.6333,43.9536,1310433,XRAY
2014-02-26,43.973,44.3029,43.7498,43.8274,1131882,XRAY
2014-02-27,43.9147,44.1185,43.8662,44.0506,1444511,XRAY
2014-02-28,44.1768,44.3321,43.6818,44.0409,1372688,XRAY
2014-03-03,43.9536,44.2738,43.5848,43.6139,1135843,XRAY
2014-03-04,43.9536,44.9435,43.905,44.8076,1061327,XRAY
2014-03-05,44.7785,44.8658,44.4582,44.7688,939220,XRAY
2014-03-06,44.827,45.1279,44.4776,44.5359,976181,XRAY
2014-03-07,44.73,45.5064,44.5164,45.4772,1210521,XRAY
2014-03-10,45.4869,45.6422,44.8367,45.0696,731876,XRAY
2014-03-11,45.157,45.2443,44.7397,44.8367,420596,XRAY
2014-03-12,44.6717,45.0114,44.3612,44.4388,714660,XRAY
2014-03-13,44.497,44.6426,43.7789,43.9536,570069,XRAY
2014-03-14,43.9536,44.0797,43.4392,43.5363,936042,XRAY
2014-03-17,43.7886,44.3224,43.7886,44.2156,816281,XRAY
2014-03-18,44.3126,44.565,44.0506,44.5262,602197,XRAY
2014-03-19,44.4485,44.8173,44.1865,44.4291,472569,XRAY
2014-03-20,44.3126,44.4582,44.0603,44.4388,429848,XRAY
2014-03-21,44.8755,44.9823,44.1962,44.3806,1115627,XRAY
2014-03-24,44.4291,44.433,43.6781,43.7983,1111539,XRAY
2014-03-25,44.0021,44.3612,43.7498,44.2059,1018311,XRAY
2014-03-26,44.2994,44.4549,43.9981,44.1925,1016451,XRAY
2014-03-27,44.28,44.28,43.8718,43.9398,602128,XRAY
2014-03-28,44.1342,44.6979,44.0273,44.212,626086,XRAY
2014-03-31,44.3772,44.8923,44.1342,44.7465,783448,XRAY
